"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.05,0.1,0.5,0.3,0,0,0,0,0,1,0.005,0,0.005,1,0.025,"D0",0.328616586247084,0.0359238881532158,1,0.328298639938812,0.0359015779573217,1,0.0538830421993373,0.0359631834705421,0.317,0.328562119834291,0.0359440616431327,1,-0.00128788749142589,0.034994543050445,0.04,0.328243728875055,0.0359217401918659,1,0.0539262495857754,0.0359821488925143,0.315,-0.001335878054746,0.034972320200413,0.041,0.0366199316018662,0.0366356833140974,0.0382668888100954,0.0367140826940252,0.0341070231865995,0.0367281381887955,0.0382486851398661,0.0341099098783292,0.0286165862470836,0.028298639938812,0.0285621198342914,0.0282437288750549,"sim","classical","t",3,1000,1000,314
0.05,0.3,0.5,0.3,0,0,0,0,0,1,0.015,0,0.015,1,0.025,"D0",0.324603402330699,0.0359671804296726,0.999,0.322199580483369,0.0356344594437584,0.999,0.158936897095704,0.0355605940515922,0.983,0.324653498126356,0.0359842252462349,0.999,-0.000840078158354558,0.0351708271811994,0.0500000000000001,0.322243559409571,0.0356512110710704,0.999,0.158969471896163,0.0355772976389863,0.984,-0.000816511189212604,0.0348410058360755,0.056,0.0353762472144421,0.035070670112912,0.0427461712270326,0.0354348245582451,0.0356744345143707,0.0351356226905012,0.0427776222184964,0.0355199908698645,0.0246034023306992,0.0221995804833688,0.0246534981263564,0.0222435594095712,"sim","classical","t",3,1000,1000,314
0.05,0.5,0.5,0.3,0,0,0,0,0,1,0.025,0,0.025,1,0.025,"D0",0.328039402341516,0.0360104301750402,1,0.320880897259658,0.0350824224977489,1,0.257866201158933,0.0347250745067382,0.999,0.328035972102987,0.0360274015370297,1,0.000225588296550181,0.0350911592466153,0.053,0.320872875367231,0.0350991992418949,1,0.257856157501629,0.0347433231788694,0.999,0.000284053977824652,0.034175476620715,0.047,0.0374848948595514,0.0364324963234374,0.0500610336579781,0.0374993253446955,0.0363412820813186,0.0364437315075527,0.0500307480630443,0.0352514052411781,0.0280394023415162,0.0208808972596577,0.0280359721029869,0.0208728753672314,"sim","classical","t",3,1000,1000,314
0.05,0.7,0.5,0.3,0,0,0,0,0,1,0.035,0,0.035,1,0.025,"D0",0.324537368814269,0.0360177467334853,1,0.311560026977831,0.0341761473500109,1,0.356370205353033,0.0336511559696374,1,0.324536922657711,0.0360355257147478,1,-0.000667125864824103,0.0351372743748141,0.0539999999999998,0.311546599901671,0.0341931084302651,1,0.356352972000529,0.0336664967577943,1,-0.000344028773148889,0.0333197270507688,0.054,0.0371200336745064,0.034597752472009,0.0497107299433344,0.0371534660171593,0.0363510879712937,0.0346330052800816,0.0497180544027848,0.0345161646376621,0.0245373688142692,0.0115600269778313,0.0245369226577112,0.0115465999016708,"sim","classical","t",3,1000,1000,314
0.05,0.9,0.5,0.3,0,0,0,0,0,1,0.045,0,0.045,1,0.025,"D0",0.326223987879287,0.0355676869996903,1,0.304424605874602,0.032454151113967,1,0.453150539622481,0.0318229653879027,1,0.326246003453865,0.0355852377268676,1,0.00112192832759882,0.0348474181411735,0.048,0.304439170573985,0.0324706344613311,1,0.453105202344574,0.0318391416138189,1,0.00115804215681585,0.0317579508045896,0.049,0.0373230052474836,0.0342819113776945,0.0389074250734436,0.0373188146914765,0.0352931991688462,0.0342833250723192,0.0389066793105489,0.0317258856818878,0.0262239878792871,0.0044246058746017,0.0262460034538648,0.00443917057398457,"sim","classical","t",3,1000,1000,314
0.1,0.1,0.5,0.3,0,0,0,0,0,1,0.01,0,0.01,1,0.05,"D0",0.351937222864361,0.0358199550635192,1,0.351342895612487,0.0358017964902569,1,0.0526286369069981,0.0360388047747816,0.333,0.351962408335023,0.0358388182977475,1,0.000177999415045087,0.0349875733200203,0.046,0.351362850014251,0.035820589057949,1,0.0526829943456492,0.0360579761052027,0.331,0.000190894767806034,0.0349673487015618,0.048,0.0384420841661502,0.0382845119763902,0.0383495295865532,0.0384341354474612,0.0346015242174256,0.0382788730157369,0.0384101610014571,0.0346980271968156,0.0519372228643614,0.0513428956124867,0.0519624083350226,0.0513628500142514,"sim","classical","t",3,1000,1000,314
0.1,0.3,0.5,0.3,0,0,0,0,0,1,0.03,0,0.03,1,0.05,"D0",0.351081070827479,0.0357906429785794,1,0.346422316623877,0.0354699187728367,1,0.159199534602251,0.0354974595283515,0.994,0.351064198696473,0.0358078606843323,1,0.00187231388588149,0.0348010540992832,0.046,0.346401787413909,0.0354868821547177,1,0.159225015810183,0.0355157179162736,0.995,0.00183286904545218,0.0344738691312511,0.048,0.0387361195510824,0.0382527357362126,0.0421783288034105,0.0388061503263491,0.0351463738277489,0.0383112261434236,0.0421945781128691,0.0349611753701657,0.0510810708274794,0.0464223166238773,0.0510641986964733,0.0464017874139094,"sim","classical","t",3,1000,1000,314
0.1,0.5,0.5,0.3,0,0,0,0,0,1,0.05,0,0.05,1,0.05,"D0",0.355251738089755,0.0357811903761384,1,0.341866047882933,0.0349007536582177,1,0.256095820610351,0.0346486810630007,0.998,0.355223813672284,0.0357975010165787,1,-9.40281428441728e-05,0.0349155026138804,0.047,0.341849165254667,0.0349162804279191,1,0.256127093593081,0.0346656462511598,0.998,0.00044381548073995,0.0340106803256801,0.044,0.0371452060373452,0.0362342715198677,0.0482453727953506,0.0371914542943323,0.0353384138085958,0.0362731192711644,0.0482447852748628,0.0346958161278224,0.0552517380897547,0.0418660478829326,0.0552238136722837,0.041849165254667,"sim","classical","t",3,1000,1000,314
0.1,0.7,0.5,0.3,0,0,0,0,0,1,0.07,0,0.07,1,0.05,"D0",0.353846198527774,0.0360900508382833,1,0.327286998684102,0.0343087073896142,1,0.356694106532627,0.033625961899776,1,0.353782886368814,0.0361068447249961,1,0.0014487770673528,0.0350985795451704,0.06,0.327223519241596,0.0343248100530835,1,0.356674686769744,0.0336411195259753,1,0.00128634181587291,0.0332765511474028,0.056,0.036152328765743,0.0337701751562771,0.0506167926433967,0.0361543795035022,0.0365843755989498,0.0337715533144814,0.0506499606319065,0.0347388912721842,0.0538461985277738,0.027286998684102,0.0537828863688141,0.0272235192415963,"sim","classical","t",3,1000,1000,314
0.1,0.9,0.5,0.3,0,0,0,0,0,1,0.09,0,0.09,1,0.05,"D0",0.353163570043159,0.0357212386155018,1,0.309677200443279,0.032767527334486,1,0.449846234736585,0.0319530179362929,1,0.353170748631304,0.0357397251926314,1,0.000754708148283388,0.0348435451118905,0.0550000000000002,0.309680645237526,0.0327855103291823,1,0.449791178795357,0.0319705621624915,1,0.00077032000492494,0.0318181520418853,0.0440000000000002,0.0357002582883708,0.0321758748558234,0.0401765686620308,0.0356903980606304,0.035103275748546,0.0321715992068108,0.0401864581973528,0.0311816105061082,0.0531635700431591,0.00967720044327919,0.0531707486313041,0.0096806452375261,"sim","classical","t",3,1000,1000,314
0.15,0.1,0.5,0.3,0,0,0,0,0,1,0.015,0,0.015,1,0.075,"D0",0.381514504459277,0.035949686771815,1,0.380679233597106,0.0359399256825738,1,0.0498568429598248,0.0360173595166367,0.288,0.381504820717259,0.0359663464777033,1,-0.000479169026891375,0.0350751206367728,0.045,0.380668589870685,0.0359564937669471,1,0.0498656085889117,0.0360359836952332,0.288,-0.000540060671448372,0.0350589686810205,0.054,0.0372050694903795,0.0370738457681738,0.0382196858512396,0.0372089319500786,0.0355957430045557,0.0370731259511108,0.0383121341434762,0.0356590603629423,0.0815145044592768,0.0806792335971058,0.0815048207172587,0.0806685898706855,"sim","classical","t",3,1000,1000,314
0.15,0.3,0.5,0.3,0,0,0,0,0,1,0.045,0,0.045,1,0.075,"D0",0.380419746315397,0.0360068306398162,1,0.372958363884342,0.0357315856779111,0.999,0.154343784527354,0.0356746017977428,0.975,0.380445733610398,0.0360254138204835,1,0.000466761599671553,0.0350285405077673,0.055,0.37298384738388,0.0357502786998779,0.999,0.154269487482269,0.0356926508192495,0.973,0.000707575413575538,0.0347197076629341,0.052,0.0383864331949903,0.0378453034638615,0.0434630927122892,0.0384424114223589,0.0349147337771086,0.0379115193888546,0.0434960755066992,0.0343574198511393,0.0804197463153975,0.0729583638843417,0.0804457336103979,0.07298384738388,"sim","classical","t",3,1000,1000,314
