"design","rho_target","a1","a2","c1","c2","b1","b2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_target","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
"D1",0.1,0.408248290463863,3.72529029846191e-09,0.244948974278318,3.72529029846191e-09,0.3,0.3,0,0,0,1,0.1,1.38777878078145e-17,0.1,1,0.122474487139159,1.38777878078145e-16,0.429988667254079,0.033000070538751,1,0.423097815938746,0.0331433493985679,1,0.065420830582127,0.0333543081257502,0.491,0.429945475541222,0.0330185840644623,1,-0.00121450958235429,0.0323643574181598,0.036,0.42304955493726,0.0331621003446648,1,0.0654477434895245,0.0333720408021465,0.49,-0.00129251739369888,0.0323175282287823,0.0370000000000001,0.0398194671434763,0.0393548089785655,0.0361638320101158,0.039906886143328,0.0313511466073327,0.0394378811979766,0.0361312034320255,0.0313084657259831,0.129988667254079,0.123097815938746,0.129945475541222,0.12304955493726,"sim","classical","t",3,1000,1000,314
"D1",0.15,0.408248290463863,0.223606797749979,0.244948974278318,0.223606797749979,0.3,0.3,0,0,0,1,0.1,0.05,0.15,0.666666666666667,0.122474487139159,0.333333333333334,0.426979931351933,0.0329301363941184,1,0.417808704672832,0.033320606811935,1,0.0587462872027964,0.0336153041276748,0.432,0.434037584052539,0.0338270518027123,1,-0.0298099618393399,0.0332409100432683,0.152,0.426537299925153,0.0339940295228721,1,0.067805862599046,0.0343322829612837,0.506,-0.0433129553811195,0.0339006146487251,0.258,0.0382465694197504,0.0383210402872102,0.0359855652735885,0.0403764714101437,0.0336080329303141,0.0401195689868659,0.0367952500148039,0.0340927981070075,0.126979931351933,0.117808704672832,0.134037584052539,0.126537299925154,"sim","classical","t",3,1000,1000,314
"D1",0.2,0.408248290463863,0.316227766016838,0.244948974278318,0.316227766016838,0.3,0.3,0,0,0,1,0.1,0.1,0.2,0.5,0.122474487139159,0.5,0.429007255901416,0.033017693327637,1,0.418520820994397,0.0337651581883786,1,0.0506820446535828,0.0339625055356327,0.33,0.44443364539083,0.0348869977177094,1,-0.0460630321983715,0.034324137930831,0.285,0.436411146480185,0.0350913190252182,1,0.0687578472890008,0.0353221997096763,0.491,-0.0653289188071103,0.0356726287069173,0.466,0.0358892853628833,0.0357940717277014,0.0364237834891068,0.0395385768028441,0.0355722594984597,0.0389246604074595,0.0385752114398076,0.0368052243485309,0.129007255901416,0.118520820994397,0.14443364539083,0.136411146480185,"sim","classical","t",3,1000,1000,314
"D1",0.25,0.408248290463863,0.387298334620742,0.244948974278318,0.387298334620742,0.3,0.3,0,0,0,1,0.1,0.15,0.25,0.4,0.122474487139159,0.6,0.426430127989443,0.0328183921728574,1,0.414490122677999,0.0339781378583794,1,0.0472009261010661,0.0342296966266608,0.275,0.449803683175654,0.0356777089608046,1,-0.0575022988798492,0.035238979297797,0.381,0.440823211521722,0.0359030054041197,1,0.0738553827818343,0.0362136725745297,0.541,-0.0825405683203007,0.0372715032826805,0.603,0.0372715944966504,0.038243850280609,0.034866431454041,0.0432490409252465,0.0361910079170241,0.0429645970933114,0.0384996922068987,0.0385059956673291,0.126430127989443,0.114490122677999,0.149803683175654,0.140823211521722,"sim","classical","t",3,1000,1000,314
"D1",0.3,0.408248290463863,0.447213595499958,0.244948974278318,0.447213595499958,0.3,0.3,0,0,0,1,0.1,0.2,0.3,0.333333333333333,0.122474487139159,0.666666666666667,0.426323248348698,0.0329251570506061,1,0.414047481580185,0.0346402447115081,1,0.0401878397517254,0.0348205413521836,0.218,0.459263891596062,0.036992183922363,1,-0.0700001862371101,0.0364901908070652,0.502,0.449540953508693,0.0372485980777278,1,0.0759543282210699,0.0374659504203863,0.52,-0.0996805538395517,0.0392688007720191,0.713,0.0368647716055621,0.0382241116456774,0.0375122689411905,0.0438319306088185,0.0371615596549289,0.0434883270962671,0.0424526370263197,0.0404489790880047,0.126323248348698,0.114047481580185,0.159263891596062,0.149540953508693,"sim","classical","t",3,1000,1000,314
"D1",0.35,0.408248290463863,0.5,0.244948974278318,0.5,0.3,0.3,0,0,0,1,0.1,0.25,0.35,0.285714285714286,0.122474487139159,0.714285714285714,0.425403486070852,0.0326309776274681,1,0.412839237293492,0.0349888462334947,1,0.0352910407139701,0.035048996782403,0.165,0.469820491628913,0.0377907509000729,1,-0.0852416293327929,0.0372608333418977,0.637,0.458522363143581,0.0380965778018918,1,0.0816432457761136,0.0382597160269621,0.562,-0.12045768590638,0.0407166900751306,0.816,0.035318776466458,0.0375053720650968,0.0357427643709823,0.0443743611073213,0.0398204361629202,0.0439668045577989,0.0410008307484448,0.0437263656980693,0.125403486070852,0.112839237293492,0.169820491628913,0.158522363143581,"sim","classical","t",3,1000,1000,314
"D1",0.4,0.408248290463863,0.547722557505166,0.244948974278318,0.547722557505166,0.3,0.3,0,0,0,1,0.1,0.3,0.4,0.25,0.122474487139159,0.75,0.425573484345487,0.0325826035931966,1,0.41384286986372,0.0357540268678678,1,0.0295604000103653,0.0357950438921581,0.135,0.481998365838019,0.039105004985638,1,-0.0990994761029928,0.0387550205366051,0.704,0.469450620564082,0.0394750557260195,1,0.0855652229219266,0.0395855539202007,0.56,-0.139174670372424,0.0429238791561775,0.879,0.0353691934495733,0.0393690048686621,0.0377266083829496,0.0488373221179513,0.0433690319987333,0.0485005478486349,0.0431910009356295,0.0471416296403615,0.125573484345487,0.11384286986372,0.181998365838019,0.169450620564082,"sim","classical","t",3,1000,1000,314
"D1",0.45,0.408248290463863,0.591607978309962,0.244948974278318,0.591607978309962,0.3,0.3,0,0,0,1,0.1,0.35,0.45,0.222222222222222,0.122474487139159,0.777777777777778,0.422486393708734,0.0328111575758136,1,0.412133255933344,0.0370328588577162,1,0.02325888551981,0.0372340475693563,0.0909999999999999,0.493206817325731,0.0408089668957705,1,-0.115736491933715,0.040478413370378,0.791,0.478743532892553,0.0412836968117364,1,0.0908657392122291,0.0417101321132438,0.611,-0.16100616486402,0.0454643073907604,0.936,0.0355315545885022,0.0386229853777837,0.036331497949894,0.0494694041653441,0.0441857599099254,0.0486206196520987,0.0431983067146572,0.0485801303498206,0.122486393708734,0.112133255933344,0.193206817325731,0.178743532892553,"sim","classical","t",3,1000,1000,314
"D1",0.5,0.408248290463863,0.632455532033676,0.244948974278318,0.632455532033676,0.3,0.3,0,0,0,1,0.1,0.4,0.5,0.2,0.122474487139159,0.8,0.424455907878028,0.0323695041163343,1,0.416870372143513,0.0376831855193002,1,0.0155621592975494,0.0378286806817575,0.095,0.510157845216463,0.041915168178419,0.999,-0.132002162114579,0.0416294219079611,0.876,0.494148233543952,0.0424900638184456,0.999,0.093315607645761,0.0427576733156932,0.578,-0.180766491497058,0.0472146246501909,0.959,0.0362222792752317,0.0430865095160361,0.0410019645021164,0.0538380869056766,0.0477402285327892,0.0541330078304396,0.0463391267898327,0.0506368666710128,0.124455907878028,0.116870372143513,0.210157845216463,0.194148233543952,"sim","classical","t",3,1000,1000,314
"D1",0.55,0.408248290463863,0.670820393249937,0.244948974278318,0.670820393249937,0.3,0.3,0,0,0,1,0.1,0.45,0.55,0.181818181818182,0.122474487139159,0.818181818181818,0.42221532574374,0.0323605068587475,1,0.418734711489322,0.0391940075170695,1,0.00694483617581395,0.0394255304429619,0.0649999999999999,0.531069814106326,0.0437601491999904,1,-0.158072280899956,0.0434399511398962,0.933,0.511999504735322,0.0444863416827787,1,0.102525205826996,0.0450237288252258,0.626,-0.214147238074532,0.049868240901054,0.98,0.033245298871044,0.0415749578652233,0.0423655172424646,0.0531805273436275,0.0502363310566097,0.0530338442353566,0.0504967275302085,0.0558209040452666,0.12221532574374,0.118734711489322,0.231069814106326,0.211999504735322,"sim","classical","t",3,1000,1000,314
"D1",0.6,0.408248290463863,0.707106781186548,0.244948974278318,0.707106781186548,0.3,0.3,0,0,0,1,0.1,0.5,0.6,0.166666666666667,0.122474487139159,0.833333333333333,0.424548434758491,0.0326578782948352,1,0.427417250202413,0.0413561528879333,1,-0.00391142377517906,0.0416214521271083,0.055,0.553980924676979,0.0462902423322893,1,-0.179510646977635,0.046080733416858,0.96,0.532621848327769,0.047255467135918,1,0.104730318592312,0.0479142306291524,0.583,-0.238404325010214,0.0533651953776717,0.984,0.0345655219963546,0.0443086997785768,0.0442640060406814,0.0585039285351925,0.0542542779087855,0.0581416184056236,0.0521700666662016,0.0597225526470795,0.124548434758491,0.127417250202413,0.253980924676979,0.232621848327769,"sim","classical","t",3,1000,1000,314
