"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0,0.3,"D2",0.5,0.6,0.6,0.3,0.833333333333333,0,0,0,0,1,0.5,0,0.5,1,0.18,0,0.4814097760347,0.0322275117431837,1,0.371989150771603,0.0367779671882036,1,0.216445961687187,0.0368004856237878,0.999,0.587072056632847,0.0400447385192039,1,-0.173412386179687,0.0398464313420407,0.976,0.444566182410348,0.051534930109017,1,0.179920283554932,0.0410976958285214,0.981,-0.0881942818506414,0.0441400372143725,0.517,0.0353780105101401,0.0385026926758324,0.0417910898969569,0.0503814814371974,0.0427513013836371,0.0580997495282796,0.0465242100018178,0.0462409824926094,0.1814097760347,0.0719891507716028,0.287072056632847,0.144566182410348,"sim","classical","t",3,1000,1000,314
0.05,0.3,"D2",0.5,0.6,0.6,0.3,0.791666666666667,0.0416666666666667,0,0,0,1,0.475,0.025,0.5,0.95,0.18,0.05,0.48164362445104,0.0322419811220252,1,0.379924837177108,0.0369147503650511,1,0.201196684796551,0.0370316116072419,0.997,0.58585993949371,0.0400695519806025,1,-0.17134824389356,0.0398743157159877,0.98,0.462799603537922,0.0500429459703594,1,0.163609664524652,0.0400607588645479,0.961,-0.104515266655638,0.0428882588260978,0.692,0.0341137810036443,0.0386176051353261,0.0417016467048014,0.0482352043137725,0.043323452432151,0.0576875171243707,0.044938733292379,0.0465602456518392,0.18164362445104,0.0799248371771076,0.28585993949371,0.162799603537922,"sim","classical","t",3,1000,1000,314
0.1,0.3,"D2",0.5,0.6,0.6,0.3,0.75,0.0833333333333333,0,0,0,1,0.45,0.05,0.5,0.9,0.18,0.1,0.483121932549441,0.0323435836351907,1,0.390422080870128,0.0371433945306078,1,0.183646314920729,0.0373262368502083,0.991,0.588636803552299,0.040198470660916,1,-0.173517251883795,0.040039624712383,0.977,0.484813899831591,0.0489848846366591,1,0.145864338667882,0.0393755777414609,0.947,-0.123422154064075,0.0421110429267656,0.824,0.0333924628562826,0.0377031949000898,0.0433670990799364,0.0465055613757299,0.04332150988868,0.0526272230797434,0.0450578741412737,0.0441529735865865,0.183121932549441,0.090422080870128,0.288636803552299,0.184813899831591,"sim","classical","t",3,1000,1000,314
0.15,0.3,"D2",0.5,0.6,0.6,0.3,0.708333333333333,0.125,0,0,0,1,0.425,0.075,0.5,0.85,0.18,0.15,0.482235470616343,0.0322428628009908,1,0.397480294506014,0.037093215568286,1,0.168392441312567,0.0372978329639488,0.98,0.586059525126475,0.0400418867384311,1,-0.171120739114198,0.0399249498097983,0.977,0.49549254721658,0.0476300994375417,1,0.135200478715143,0.0385191745404937,0.919,-0.133575536620955,0.0411852735246811,0.874,0.0345822465996417,0.0398698687913726,0.0422716761236075,0.0487635263395009,0.0430098766967005,0.055840820747692,0.0432819833710394,0.0435946280347697,0.182235470616343,0.097480294506014,0.286059525126475,0.19549254721658,"sim","classical","t",3,1000,1000,314
0.2,0.3,"D2",0.5,0.6,0.6,0.3,0.666666666666667,0.166666666666667,0,0,0,1,0.4,0.1,0.5,0.8,0.18,0.2,0.481533971847439,0.032350700452449,1,0.40631101914544,0.0372887242583215,1,0.150221759524329,0.0376383033120447,0.963,0.585457828247787,0.0402933154435519,1,-0.17015891380595,0.0401316868317532,0.978,0.508466896570244,0.0469036459955954,1,0.122711457809376,0.0382298056709831,0.874,-0.144461058859708,0.0408001990207853,0.925,0.0351666468533499,0.0403076387155829,0.0440354711001155,0.0491505037954555,0.0427017561232525,0.0546696959187154,0.0445570650827929,0.0420516334867851,0.181533971847439,0.10631101914544,0.285457828247787,0.208466896570244,"sim","classical","t",3,1000,1000,314
0.25,0.3,"D2",0.5,0.6,0.6,0.3,0.625,0.208333333333333,0,0,0,1,0.375,0.125,0.5,0.75,0.18,0.25,0.481325731589248,0.0321030212328042,1,0.413275446501491,0.0370842898164848,1,0.134885523286445,0.0373208662651932,0.936,0.585928421845007,0.0398749713507123,1,-0.171774031553862,0.0396469279680607,0.983,0.518225229626307,0.04559376154621,1,0.114244902988348,0.0374438985434726,0.844,-0.155047444915987,0.0398924960045086,0.966,0.034178075065235,0.0396779959459852,0.0430228346517761,0.0473572453939963,0.0431517020715673,0.0518709587274308,0.0424010696461066,0.0423355172867258,0.181325731589248,0.113275446501491,0.285928421845007,0.218225229626307,"sim","classical","t",3,1000,1000,314
0.3,0.3,"D2",0.5,0.6,0.6,0.3,0.583333333333333,0.25,0,0,0,1,0.35,0.15,0.5,0.7,0.18,0.3,0.481493620518511,0.032129821675258,1,0.42275412633724,0.0371703145654301,1,0.116979030600913,0.0374041060516205,0.87,0.585441838243377,0.039955359684647,1,-0.170822061187608,0.0398470021214677,0.974,0.527837399239187,0.0449086444771263,1,0.104885331741765,0.0372369477177428,0.792,-0.162573968139543,0.0398408708758477,0.968,0.0336995423956382,0.0399996367156721,0.0423122842318118,0.0488961057370789,0.0452267007233907,0.0541282960718956,0.0424165383454959,0.0440443804797635,0.181493620518511,0.12275412633724,0.285441838243377,0.227837399239187,"sim","classical","t",3,1000,1000,314
0.35,0.3,"D2",0.5,0.6,0.6,0.3,0.541666666666667,0.291666666666667,0,0,0,1,0.325,0.175,0.5,0.65,0.18,0.35,0.479453318581087,0.0324020979619654,1,0.428329760945418,0.0376109671933969,1,0.101692908333035,0.0380339473478544,0.771,0.583887836635947,0.0402454832988033,1,-0.171752861465446,0.040122327375594,0.98,0.533374332092459,0.0446412459827047,1,0.0987898379671728,0.0377282684977977,0.751,-0.170362898025147,0.0400259499181201,0.981,0.0349625958156438,0.0394124425266575,0.040040304083738,0.0488514502175782,0.0439883495417993,0.0513629448525969,0.0404030553531472,0.0425832870681938,0.179453318581087,0.128329760945418,0.283887836635947,0.233374332092459,"sim","classical","t",3,1000,1000,314
0.4,0.3,"D2",0.5,0.6,0.6,0.3,0.5,0.333333333333333,0,0,0,1,0.3,0.2,0.5,0.6,0.18,0.4,0.481087141910748,0.032013946088073,1,0.440099305224306,0.0371491070242441,1,0.0819248055068893,0.0375094376896476,0.572000000000001,0.584335584663812,0.0398040448527958,1,-0.169696338235607,0.0396652031007438,0.977,0.54243895527178,0.0435148590397351,1,0.0888249873176039,0.0372136654578793,0.642,-0.174024342090828,0.0396198883282238,0.984,0.0361988773646964,0.0420884533786548,0.0409336466383581,0.0508953674298605,0.0448586766537398,0.0553502840717088,0.0412336193628708,0.0435947555369645,0.181087141910748,0.140099305224306,0.284335584663812,0.24243895527178,"sim","classical","t",3,1000,1000,314
0.45,0.3,"D2",0.5,0.6,0.6,0.3,0.458333333333333,0.375,0,0,0,1,0.275,0.225,0.5,0.55,0.18,0.45,0.47974610949407,0.0320264144721298,1,0.446299254104263,0.0372818963888343,1,0.0666667720641246,0.0378162064709797,0.448,0.586552008174597,0.0398220947011794,1,-0.175036637169075,0.0396326396184129,0.979,0.549660830178113,0.04303176606608,1,0.0853235844091242,0.0376581020697963,0.619,-0.184999340381543,0.0397912410007258,0.988,0.0334123084372722,0.0395301572243786,0.0413697676116561,0.0472462282232477,0.044815179107955,0.0503914978725743,0.0424874656773078,0.0436542682412961,0.17974610949407,0.146299254104263,0.286552008174597,0.249660830178113,"sim","classical","t",3,1000,1000,314
