"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.5,0,0,0,0,1,0.2,0,0.2,1,0.12,0,0.421675158617572,0.0329523431583261,0.999,0.393411573256106,0.0334296563010927,0.999,0.137050074544522,0.033523084968375,0.968,0.446396110177372,0.0360527112078485,0.999,-0.059178649517298,0.0355887117266311,0.409,0.413487489155201,0.0367659417481405,0.999,0.132943849078462,0.0336641885368835,0.964,-0.0459869456154298,0.0354903544368096,0.271,0.0367129591274885,0.03609809483058,0.0384879488015585,0.0408404737045624,0.0357241067544698,0.0396306448021899,0.038362687441458,0.0354211012748041,0.121675158617572,0.0934115732561065,0.146396110177372,0.113487489155201,"sim","classical","t",3,1000,1000,314
0,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.333333333333333,0,0,0,0,1,0.2,0,0.2,1,0.18,0,0.479018937977948,0.0321183188520241,1,0.464882271709871,0.0327897436576791,1,0.0695542632197533,0.0335176232029132,0.562,0.583723895505621,0.0399135848457686,1,-0.172016469199981,0.0397692304696915,0.977,0.568677851345176,0.0413339726120145,1,0.0476141331920159,0.0337006950456048,0.291,-0.163061193504025,0.0402714522841412,0.967,0.0346337097508284,0.0348474259798709,0.0340589595343966,0.047403754397553,0.0422388536254807,0.0484104360888647,0.0337841498906007,0.0427777039764927,0.179018937977948,0.164882271709871,0.283723895505621,0.268677851345176,"sim","classical","t",3,1000,1000,314
0,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.666666666666667,0,0,0,0,1,0.4,0,0.4,1,0.18,0,0.480933306422097,0.0324578609320302,1,0.417952380759423,0.0352034287071062,0.999,0.156989349836876,0.03552092950764,0.984,0.584763587238453,0.0403768193820404,0.999,-0.170842953322271,0.0402357370613223,0.984,0.509434409953276,0.0468061160891313,0.999,0.119446699924415,0.0376419504135079,0.877,-0.125414184473025,0.0425904535318312,0.821,0.0339315152199468,0.0372094538260346,0.0409837630804558,0.0465707896736813,0.0422746365800267,0.054595360255831,0.0429499492370982,0.0459473538373459,0.180933306422097,0.117952380759423,0.284763587238453,0.209434409953276,"sim","classical","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.95,0.05,0,0,0,1,0.19,0.01,0.2,0.95,0.06,0.05,0.364977662514573,0.0333208910836414,1,0.304819383918454,0.0328024378669122,1,0.28386766870921,0.032047538849552,1,0.368164246456818,0.0340639639754705,1,-0.0149431809620562,0.0332491319485635,0.066,0.308422596582397,0.0334927879464992,1,0.284034357261403,0.0320624200511045,1,-0.0174651254373085,0.032017243009932,0.074,0.0355439850711316,0.03344608840078,0.0345418007929172,0.0368122644023793,0.0324963366301846,0.0343524256829716,0.0345367937440297,0.0312518905734823,0.0649776625145725,0.00481938391845399,0.0681642464568176,0.00842259658239736,"sim","classical","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.475,0.025,0,0,0,1,0.19,0.01,0.2,0.95,0.12,0.05,0.42360794599341,0.0327653289846943,1,0.396965716069399,0.0332605158092434,1,0.130390137466346,0.033465441046192,0.965,0.447946711189,0.0358869269802034,1,-0.0572357047230449,0.0352355662319479,0.386,0.418302878441192,0.0365150943181008,1,0.127286196032097,0.0335245444088783,0.96,-0.048569156929553,0.0350790520016761,0.296,0.037644513272902,0.0373987162141149,0.0372499386624968,0.0434434580864221,0.0371219067575458,0.0427344863653215,0.0371609765718103,0.0366920265314116,0.12360794599341,0.0969657160693986,0.147946711189,0.118302878441192,"sim","classical","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.316666666666667,0.0166666666666667,0,0,0,1,0.19,0.01,0.2,0.95,0.18,0.05,0.483518814359951,0.0322905984348382,1,0.470488791136317,0.0329654480936921,1,0.0650347802151901,0.0337285178365366,0.488,0.587391415330864,0.0401223800890835,1,-0.17089214679767,0.0399593893954688,0.976,0.573820388889262,0.0413943653037171,1,0.0459068397978103,0.033793406504558,0.286,-0.163539425520674,0.0403279453843028,0.967,0.0352747444468299,0.0358842405097683,0.0357519169027567,0.0486452336269995,0.0423323190879278,0.0496809253503292,0.0359547416270565,0.0426104845502696,0.183518814359951,0.170488791136317,0.287391415330864,0.273820388889262,"sim","classical","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.95,0.05,0,0,0,1,0.38,0.02,0.4,0.95,0.12,0.05,0.423689220337808,0.033162739852928,1,0.30487826090372,0.0352235201445091,1,0.283987127151776,0.0345857011677408,1,0.449699681383437,0.0362887062707344,1,-0.0615746620019415,0.0356566769342143,0.424,0.3153419275888,0.0389743990323951,1,0.280882945548837,0.034963770943984,1,-0.0217872941216215,0.0349272181218167,0.098,0.0366713689959635,0.0352338488710105,0.0359752663899738,0.0424679761024642,0.0366698269668456,0.0400501608003321,0.0366270917213214,0.0352701685509858,0.123689220337808,0.00487826090371996,0.149699681383437,0.0153419275888002,"sim","classical","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.633333333333333,0.0333333333333333,0,0,0,1,0.38,0.02,0.4,0.95,0.18,0.05,0.480593949757911,0.0324809682086006,1,0.422554451869661,0.0353197338093355,1,0.143770540461271,0.0356170330490133,0.97,0.586009284432013,0.0403530504719323,1,-0.173658319897706,0.040217673789209,0.978,0.521312896204575,0.0460863500611452,1,0.107784567829404,0.0370957843669908,0.83,-0.138419245423056,0.0419192574495406,0.903,0.0331974423348445,0.0360511671438299,0.0410564216119325,0.046879069226504,0.043871152574982,0.0516269665937777,0.0417279130439541,0.0452401030651516,0.180593949757911,0.122554451869661,0.286009284432013,0.221312896204575,"sim","classical","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.6,0.6,0.6,0.3,0.95,0.05,0,0,0,1,0.57,0.03,0.6,0.95,0.18,0.05,0.48108478047133,0.0321691959112225,1,0.31237949037697,0.0393571266181189,1,0.279781962532111,0.0392499071242753,0.999,0.585883713782371,0.0399857427170159,1,-0.172204854172769,0.0398531665922546,0.981,0.355230365999539,0.0568976366694965,0.999,0.256545119859817,0.045226941493704,0.996,-0.0469284052967671,0.0451995791826144,0.189,0.034449772053398,0.0395812829359672,0.0412710480433519,0.0500467828900198,0.0434844451864891,0.0593240330596125,0.0476135902047633,0.0457665451230868,0.18108478047133,0.0123794903769699,0.285883713782371,0.0552303659995386,"sim","classical","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.9,0.1,0,0,0,1,0.18,0.02,0.2,0.9,0.06,0.1,0.362458643521733,0.0332683994867892,1,0.305509804881227,0.0328692369827978,1,0.270505753351124,0.0322323966314844,1,0.365252910736972,0.0340088963957752,1,-0.0129524003530958,0.0332671144898827,0.071,0.311345887190585,0.0334810337383673,1,0.272345772309025,0.0322964648651259,1,-0.029697035855345,0.0322046061355112,0.153,0.0356544628630653,0.0336298971473238,0.0352100847885159,0.0370691377400612,0.0333371925883553,0.0347006544078012,0.0352989030178872,0.0322645671687347,0.0624586435217325,0.00550980488122654,0.0652529107369716,0.0113458871905846,"sim","classical","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.45,0.05,0,0,0,1,0.18,0.02,0.2,0.9,0.12,0.1,0.424797024246571,0.0330156722829636,1,0.400111872807684,0.0335630850012877,1,0.119996961484374,0.0337647174555417,0.927,0.450053425932164,0.0361818577942056,1,-0.0595911165567976,0.0355697052433849,0.404,0.423752812783187,0.0367761337041181,0.999,0.117807453129723,0.0337688440450508,0.917,-0.0547619318035092,0.0353992711397598,0.356,0.0362031157936364,0.0365079968555064,0.0386484689125188,0.0416416355759988,0.036250977660457,0.0414722111075159,0.0386497461257125,0.0356608622135214,0.124797024246571,0.100111872807684,0.150053425932164,0.123752812783187,"sim","classical","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.3,0.0333333333333333,0,0,0,1,0.18,0.02,0.2,0.9,0.18,0.1,0.481295182408456,0.032076343553098,1,0.469265744014199,0.032748918135104,1,0.0601611060237494,0.0335435222143274,0.426,0.586580836182149,0.0399099965784829,1,-0.172360146442115,0.0397126597737342,0.985,0.574269169891345,0.0410387822208685,1,0.0437524982025814,0.0335031271242671,0.256,-0.16642327637089,0.039975424002315,0.979,0.0340382277412082,0.034737423181622,0.0344794246041915,0.0474436829936107,0.0433566832701283,0.0488127366208102,0.0344303218040411,0.0436772777206904,0.181295182408456,0.169265744014199,0.286580836182149,0.274269169891345,"sim","classical","t",3,1000,1000,314
