"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.05,0.1,0.5,0.3,0,0,0,0,0,1,0.005,0,0.005,1,0.025,"NoV",0.326033347094973,0.0354384355717179,1,0.325839906125772,0.0354200788297894,1,0.0504826562831711,0.0353979696180497,0.305,0.32603709151487,0.0354560533869057,1,-0.00092413071969324,0.0354533618842963,0.05,0.325842033549287,0.0354377456768632,1,0.0504776295160929,0.0354178620398729,0.305,-0.000946764297639999,0.0354366668898681,0.0509999999999999,0.0366180920409319,0.0365582062870403,0.0356880682269257,0.0366197673665003,0.0352607297421864,0.0365569776321758,0.0357301681360578,0.0352538351065359,0.0260333470949731,0.0258399061257722,0.02603709151487,0.0258420335492875,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,0.5,0.3,0,0,0,0,0,1,0.015,0,0.015,1,0.025,"NoV",0.324500710672746,0.035425626773572,1,0.322156349276754,0.0351317858614672,1,0.148797295935208,0.035080323129663,0.988,0.324527256890959,0.035443171696526,1,0.00103697141492569,0.0354301151990157,0.056,0.322186983279083,0.0351493425966285,1,0.148752725173979,0.0350975890027894,0.988,0.000970663457021085,0.0351322386041048,0.052,0.0358746252605154,0.0356816582422835,0.0350727995097442,0.0359032816043865,0.0358494043751962,0.0356905364115088,0.0350989893349107,0.0354239137859557,0.0245007106727456,0.0221563492767541,0.024527256890959,0.022186983279083,"sim","classical","norm",NA,1000,1000,314
0.05,0.5,0.5,0.3,0,0,0,0,0,1,0.025,0,0.025,1,0.025,"NoV",0.325201240040947,0.0354114748674892,1,0.319320589794453,0.0345453793334999,1,0.249509745194571,0.0345486790526995,1,0.32518757523323,0.0354280400725361,1,-0.000850411966992887,0.035434884396137,0.05,0.319314281553247,0.0345614572977269,1,0.249519100325211,0.0345669881299634,1,-0.00139191115268259,0.0345602375020303,0.0529999999999999,0.0342013924819607,0.0336747654403646,0.0359624013119896,0.0342131442531027,0.0356504736542136,0.0336959047517395,0.0359480473622626,0.0347525475369631,0.0252012400409466,0.0193205897944526,0.0251875752332299,0.019314281553247,"sim","classical","norm",NA,1000,1000,314
0.05,0.7,0.5,0.3,0,0,0,0,0,1,0.035,0,0.035,1,0.025,"NoV",0.325196583921049,0.0353150269151213,1,0.312545025477164,0.0335870394001194,1,0.348891786011266,0.033607637442164,1,0.325234430699823,0.0353300739591175,1,-2.77652330172684e-05,0.035387873044628,0.048,0.3125894135913,0.0336012723351747,1,0.348887112217476,0.0336237629072264,1,-0.00024197366188959,0.0336343143294484,0.054,0.0347027570051601,0.0327904736379548,0.0339124399015984,0.0347170113685286,0.0362392488871062,0.0328082781642946,0.0339504447412447,0.034479536509773,0.025196583921049,0.0125450254771639,0.0252344306998228,0.0125894135912997,"sim","classical","norm",NA,1000,1000,314
0.05,0.9,0.5,0.3,0,0,0,0,0,1,0.045,0,0.045,1,0.025,"NoV",0.324277987526142,0.0354017829342646,1,0.303500864499524,0.0324524991074391,1,0.45116199277974,0.0324631209477485,1,0.324229634443724,0.0354192422906224,1,-0.000253947001389756,0.0354295339869917,0.058,0.303456685268372,0.0324683761144704,1,0.451160731022566,0.032478996095723,1,0.000225485985980049,0.0324436640114439,0.058,0.0345382825601508,0.0315409577752599,0.0330747609429737,0.0345491777659349,0.0361845741745364,0.0315635174505699,0.033094551727745,0.0332083119719463,0.0242779875261422,0.0035008644995243,0.0242296344437243,0.0034566852683719,"sim","classical","norm",NA,1000,1000,314
0.1,0.1,0.5,0.3,0,0,0,0,0,1,0.01,0,0.01,1,0.05,"NoV",0.34650330562613,0.0353906962571251,1,0.345981009967925,0.0353738835992825,1,0.0504577404819318,0.0353545800510795,0.314,0.346541910890082,0.0354072938065478,1,0.000309584160495587,0.0354026357599622,0.053,0.34602003461778,0.0353905166029766,1,0.0504803261437802,0.0353729179239232,0.315,0.000340814497709315,0.0353841059197331,0.056,0.0347927736749602,0.0348047840237339,0.036313079624731,0.0347905415885152,0.0356104591906668,0.0347973031299961,0.0362926181755744,0.0355839796582422,0.0465033056261295,0.0459810099679255,0.0465419108900821,0.0460200346177804,"sim","classical","norm",NA,1000,1000,314
0.1,0.3,0.5,0.3,0,0,0,0,0,1,0.03,0,0.03,1,0.05,"NoV",0.350640342153199,0.0353585077087149,1,0.346273012331733,0.0350751282980695,1,0.14885449876942,0.0349979991598477,0.987,0.350665247432147,0.0353768535352632,1,0.000741117875388961,0.0353251133729381,0.0500000000000001,0.346292487366328,0.0350930449345235,1,0.148917845851107,0.0350138606429133,0.988,0.000833247501650539,0.0350251047077185,0.051,0.0353764968492383,0.0350727734039906,0.034924581026441,0.0354228779066124,0.0351488186476821,0.0351260784623874,0.0349230418539538,0.0351206586435497,0.0506403421531988,0.0462730123317329,0.0506652474321467,0.0462924873663281,"sim","classical","norm",NA,1000,1000,314
0.1,0.5,0.5,0.3,0,0,0,0,0,1,0.05,0,0.05,1,0.05,"NoV",0.351235128117933,0.0353469943825666,1,0.338818247611173,0.0345333636620131,1,0.247401625164278,0.0345606742174614,1,0.351253277955007,0.035366356464912,1,-0.000622677681583079,0.0353480616526663,0.049,0.338838650225101,0.034552291259596,1,0.24741984371216,0.0345798660578955,1,-0.00046640927786134,0.034490689726983,0.045,0.0350847750566158,0.0345629199384433,0.0348686014303257,0.0350643908717913,0.0341005538737992,0.0345530544214625,0.0348481789831772,0.0332754107857963,0.0512351281179327,0.0388182476111731,0.0512532779550074,0.0388386502251011,"sim","classical","norm",NA,1000,1000,314
0.1,0.7,0.5,0.3,0,0,0,0,0,1,0.07,0,0.07,1,0.05,"NoV",0.351132997500232,0.0353547861904922,1,0.326626587587937,0.0337011158780645,1,0.348605775774456,0.0337364781985432,1,0.351127737175352,0.0353731932404237,1,-0.00183801780371623,0.035397745945815,0.0500000000000001,0.326615234502537,0.0337186117527837,1,0.348618395423868,0.0337531367306801,1,-0.00141287304984803,0.0336584649478798,0.046,0.0360328947470409,0.0341648900037255,0.0332562362229717,0.0360808470462832,0.0356918441634345,0.0342037536564015,0.0332716645168149,0.03407225056896,0.051132997500232,0.0266265875879366,0.0511277371753516,0.0266152345025371,"sim","classical","norm",NA,1000,1000,314
0.1,0.9,0.5,0.3,0,0,0,0,0,1,0.09,0,0.09,1,0.05,"NoV",0.349686046342438,0.0353423045248841,1,0.309560805362228,0.0325083679421231,1,0.450949606012021,0.0325417282731271,1,0.349683161582555,0.035360839200561,1,0.000583653103075571,0.0353230852375677,0.052,0.309564505603792,0.0325253999701566,1,0.450949545638804,0.0325577709016097,1,6.01019675813793e-05,0.0323622389002326,0.045,0.036118825132657,0.0327741497398321,0.0317400550820621,0.0361259923609738,0.0347361956298441,0.0327938029333311,0.0317759689167005,0.0318705557076738,0.0496860463424385,0.00956080536222809,0.0496831615825552,0.00956450560379152,"sim","classical","norm",NA,1000,1000,314
