"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.3,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.933333333333333,0.208567838181554,0,0,0,1,0.42,0.18,0.6,0.7,0.135,0.3,0.434720063813657,0.0327608283686448,1,0.247801619692221,0.0398058492323086,1,0.311384551653543,0.0398428796318177,1,0.827248341778603,0.0632750462698072,1,-0.455064248930096,0.0633113520778597,1,0.465463148682606,0.119527706072091,0.974,0.220036332027578,0.0618027280277895,0.939,-0.188769434923162,0.0977687193740067,0.492,0.0334342710538789,0.0386696692045219,0.0396668306285144,0.0643158109502175,0.0626015879495455,0.121642091058232,0.0628479907197969,0.0993627812161224,0.134720063813657,-0.0521983803077793,0.527248341778603,0.165463148682606,"sim","classical","norm",NA,1000,1000,314
0.35,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.866666666666667,0.243329144545146,0,0,0,1,0.39,0.21,0.6,0.65,0.135,0.35,0.433532282181258,0.0327187659609495,1,0.266614024078848,0.0399236649130462,1,0.279006116081308,0.0399796686361991,1,0.823813312134855,0.0633164236894656,1,-0.451914978725479,0.0633053631135136,1,0.581539146965038,0.104143801347979,1,0.158535850892304,0.0542220422968721,0.833,-0.281218956427288,0.0859457394840968,0.918,0.0337267753208347,0.0400402926162184,0.0394567401474616,0.0621285031030788,0.061313430519592,0.102449477678519,0.0535404632814933,0.0837083463301097,0.133532282181258,-0.0333859759211516,0.523813312134855,0.281539146965038,"sim","classical","norm",NA,1000,1000,314
0.4,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.8,0.278090450908738,0,0,0,1,0.36,0.24,0.6,0.6,0.135,0.4,0.435269855413965,0.0327487756576243,1,0.286876948716355,0.0402066718580539,1,0.247302011097292,0.0402070431411952,1,0.82820667320096,0.0632126720972694,1,-0.455495827983761,0.0632210570501386,1,0.661410350671719,0.0941416919805016,1,0.118181896048282,0.0495240058109251,0.646,-0.344387328857261,0.0783988745858967,0.989,0.0336059958864087,0.0410512921811506,0.0400474128755452,0.0640017708935669,0.0641787391014262,0.0941924385009108,0.0487143951480511,0.0788944579527792,0.135269855413965,-0.0131230512836453,0.52820667320096,0.361410350671719,"sim","classical","norm",NA,1000,1000,314
0.4,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.933333333333333,0.324438859393528,0,0,0,1,0.42,0.28,0.7,0.6,0.135,0.4,0.435954175425092,0.0327558546794921,1,0.18052071913492,0.0443707054856843,0.979,0.365201152864864,0.0443666445970292,1,0.83135073036005,0.0632200700703802,1,-0.457889999562534,0.0631857699230782,1,0.360102667234652,0.131590776320191,0.765,0.286221784902781,0.0702578283845383,0.985,-0.144001636194372,0.099341025274578,0.309,0.0340009903134788,0.0447546655727018,0.0428370488551633,0.0612917690181947,0.0611186494370825,0.131154166468232,0.0696848736693599,0.0990436124852949,0.135954175425092,-0.11947928086508,0.53135073036005,0.0601026672346517,"sim","classical","norm",NA,1000,1000,314
0.45,0.3,"D2_highRho_unequalA2",0.6,0.35,0.90674969975976,0.3,0.942857142857143,0.297766847975285,0,0,0,1,0.33,0.27,0.6,0.55,0.105,0.45,0.404541535339585,0.0328930834993669,1,0.197702170707927,0.0396805428719941,0.999,0.344089824083795,0.0396291507963135,1,0.88991054659029,0.076096154353954,1,-0.535918931100284,0.0761700723007676,1,0.340855087074033,0.131387060254071,0.735,0.295671578056142,0.058020918835129,1,-0.125888953726932,0.110166816451766,0.204,0.0341282403823477,0.0414378089657671,0.039357075688367,0.0743866988003298,0.0742373058795625,0.129665023307391,0.0574294804270871,0.10809903597065,0.104541535339585,-0.102297829292073,0.58991054659029,0.0408550870740334,"sim","classical","norm",NA,1000,1000,314
0.45,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.733333333333333,0.312851757272331,0,0,0,1,0.33,0.27,0.6,0.55,0.135,0.45,0.434611176613358,0.0327686533216178,1,0.303504047937292,0.0404050012877734,1,0.218198419997106,0.0403856694379946,1,0.829023872831168,0.0632617527298535,1,-0.456830059748823,0.0632260820910231,1,0.703952895570407,0.0870020605396161,1,0.0966744897560951,0.0462601104039189,0.575,-0.379243707643176,0.073229074707436,0.999,0.0336629242141849,0.0413343942917318,0.0398874470244998,0.0618734983495891,0.0620198320201737,0.0849082640090103,0.0455678189965252,0.0714460725730855,0.134611176613358,0.00350404793729214,0.529023872831168,0.403952895570407,"sim","classical","norm",NA,1000,1000,314
0.45,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.855555555555556,0.364993716817719,0,0,0,1,0.385,0.315,0.7,0.55,0.135,0.45,0.433986477397144,0.0327454070104444,1,0.211605981079394,0.0447510256818373,0.995,0.317759969953655,0.0447506183242744,1,0.828407738358837,0.0632461015428218,1,-0.456896516947968,0.0632361816556893,1,0.549512775091456,0.109611672546724,1,0.184837863622474,0.0594508023111481,0.877,-0.283660116735151,0.0840804425106337,0.913,0.0341862233399974,0.0451382028768515,0.0452238282692549,0.0666563494610295,0.0648952480207705,0.109606445472754,0.058668107534744,0.0838215312715889,0.133986477397144,-0.0883940189206058,0.528407738358837,0.249512775091456,"sim","classical","norm",NA,1000,1000,314
0.5,0.3,"D2_highRho_unequalA2",0.6,0.35,0.90674969975976,0.3,0.857142857142857,0.330852053305873,0,0,0,1,0.3,0.3,0.6,0.5,0.105,0.5,0.404389700077968,0.0328733987084448,1,0.224260787796589,0.0399787449318603,1,0.300476041336696,0.0399937285073105,1,0.886576163549963,0.076205629747169,1,-0.531717111401127,0.0762008538549448,1,0.539652323389996,0.115067538623635,0.997,0.205674594184795,0.0514011685678426,0.975,-0.285076600539454,0.0975777317077569,0.826,0.0328832399936289,0.0384432482504363,0.0386667839532317,0.0754341443922192,0.0756921908318393,0.113993158190719,0.050046312140805,0.0985434956542951,0.104389700077968,-0.0757392122034108,0.586576163549964,0.239652323389996,"sim","classical","norm",NA,1000,1000,314
0.5,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.666666666666667,0.347613063635923,0,0,0,1,0.3,0.3,0.6,0.5,0.135,0.5,0.436408396100159,0.0327968614764764,1,0.323484267640802,0.0406108928993959,1,0.187955831502903,0.0406230199813908,0.997,0.833898544059927,0.0634213376050054,1,-0.460428140730133,0.0634425785733797,1,0.739574357049254,0.0817910533757995,1,0.0802551933149498,0.0440324025393338,0.448,-0.407043112190016,0.0698134416896001,1,0.0327676568816585,0.0400080617283807,0.0415070150392995,0.0632644774071594,0.0622697065928065,0.0814252544582477,0.0453286656579147,0.0691699695344424,0.136408396100159,0.0234842676408016,0.533898544059928,0.439574357049254,"sim","classical","norm",NA,1000,1000,314
0.5,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.777777777777778,0.40554857424191,0,0,0,1,0.35,0.35,0.7,0.5,0.135,0.5,0.434889962585743,0.032781011960001,1,0.245784942715912,0.0450931265042219,1,0.270490474506527,0.0451138646732858,1,0.826905599527038,0.0633103858803776,1,-0.454076323195217,0.0632950287547417,1,0.642664689978047,0.0967297477577855,1,0.134470470904079,0.0534734824493486,0.703,-0.349521414574019,0.0755853830129236,0.996,0.0330538077743686,0.046453427778711,0.0461574631102032,0.0643754570796441,0.0660438848182175,0.0972551823128069,0.053937311656384,0.0771636130293777,0.134889962585743,-0.0542150572840876,0.526905599527038,0.342664689978047,"sim","classical","norm",NA,1000,1000,314
