"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.5,0,0,0,0,1,0.2,0,0.2,1,0.12,0,0.420004477613319,0.0328599758991926,1,0.393761876080609,0.0333051844140701,1,0.130326699339038,0.0332643751053372,0.978,0.442491022334248,0.0358232967425102,1,-0.056124849095974,0.0358200562737267,0.334,0.412172797523098,0.0364692203189325,1,0.126622536336451,0.0333865537183666,0.972,-0.0440717476454224,0.0357229631810239,0.225,0.0341191273961669,0.0343759775699096,0.0328629525464226,0.0373114816876884,0.0364520926929512,0.0376459216574979,0.0329294604826384,0.0361763748001667,0.120004477613319,0.0937618760806087,0.142491022334248,0.112172797523098,"sim","classical","norm",NA,1000,1000,314
0,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.333333333333333,0,0,0,0,1,0.2,0,0.2,1,0.18,0,0.478488045772095,0.0325514834988481,1,0.46521123397149,0.0331764453644575,1,0.0663279647957237,0.0331622368477874,0.512,0.580407546871603,0.0403676950357809,1,-0.169754628443847,0.0403719873062629,0.987,0.566022195196093,0.0416802149663053,1,0.0461248723188628,0.033317920242335,0.276,-0.161150957264147,0.0408388285037598,0.977,0.0320758154513613,0.0323910158112733,0.0324794159088664,0.0399001253433206,0.0410005118458954,0.0408553025234149,0.0329327804453011,0.0415264788787361,0.178488045772095,0.16521123397149,0.280407546871603,0.266022195196093,"sim","classical","norm",NA,1000,1000,314
0,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.666666666666667,0,0,0,0,1,0.4,0,0.4,1,0.18,0,0.48099417939223,0.0325440822314642,1,0.419723790612389,0.0351891329176034,1,0.153070335068799,0.0351781188237646,0.99,0.582405585200403,0.0403396829448387,1,-0.16885718356088,0.0403101870605639,0.984,0.508975718621574,0.0463665677866671,1,0.117377631154174,0.0370868028606072,0.888,-0.124832475586185,0.0424682001858321,0.842,0.0329122985475257,0.035603888978298,0.0352082495277639,0.0392805965225381,0.0400625886979819,0.0455738385649201,0.03725682086711,0.0425262559353614,0.18099417939223,0.119723790612389,0.282405585200403,0.208975718621574,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.95,0.05,0,0,0,1,0.19,0.01,0.2,0.95,0.06,0.05,0.361306730673235,0.0330495507389962,1,0.304371259385455,0.0325062670250284,1,0.285385611241615,0.0324546858210056,1,0.363982116698573,0.0337364687547864,1,-0.0135376759706547,0.0337229675926527,0.072,0.307605064518054,0.0331413736353013,1,0.28554650535141,0.0324689863586776,1,-0.0165242082687769,0.0325037967634262,0.079,0.0340631111379275,0.0335674719219169,0.0320111961918071,0.0349442990880464,0.0335784951601536,0.0343716898737903,0.0320894301226481,0.0323012455536873,0.0613067306732347,0.0043712593854553,0.0639821166985731,0.00760506451805365,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.475,0.025,0,0,0,1,0.19,0.01,0.2,0.95,0.12,0.05,0.42062361240439,0.0327971768185036,1,0.395975157443825,0.0332503625233052,1,0.123904263133222,0.0332207446032504,0.958,0.443501818333148,0.0357838030209542,1,-0.0568842898325896,0.035764381609874,0.362,0.416181793961371,0.0363474539640794,1,0.121167976746488,0.033267576651404,0.955,-0.0488903116285423,0.0356124471754297,0.283,0.0328950021905455,0.0334559815784964,0.033579445791337,0.0358858162095549,0.0357967241754785,0.0364706064005155,0.0334728275153213,0.0357934697766858,0.12062361240439,0.0959751574438254,0.143501818333148,0.116181793961371,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.316666666666667,0.0166666666666667,0,0,0,1,0.19,0.01,0.2,0.95,0.18,0.05,0.480666289321526,0.032541599396361,1,0.468353743435399,0.0331718893391265,1,0.0615241331530225,0.0331725604258626,0.456,0.582217635905784,0.0403608350117481,1,-0.168979030849786,0.0403271666475677,0.99,0.569092804247799,0.0415339977861518,1,0.0441119245726243,0.0332179669686817,0.262,-0.161822442361281,0.0406654369358604,0.979,0.0335901658486589,0.0340902165239423,0.0343085174008696,0.04200918766731,0.0412511719960792,0.0427802482099912,0.0341074328432297,0.0414623662051656,0.180666289321526,0.168353743435399,0.282217635905784,0.269092804247799,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.95,0.05,0,0,0,1,0.38,0.02,0.4,0.95,0.12,0.05,0.421296156687497,0.0327720382717411,1,0.30868418189185,0.0346699351661883,1,0.280987047864876,0.0346889560942164,1,0.444865887164961,0.0357273077524143,1,-0.0588775725738233,0.0357763334110325,0.38,0.318796319303119,0.0381230821887611,1,0.27810601229256,0.0350032658881356,1,-0.0222739486453098,0.0350164506867206,0.087,0.0328036807941873,0.034327148540847,0.0338125049676567,0.0357409722714318,0.0352659227503443,0.03747704847726,0.0341008981443987,0.0347592356765952,0.121296156687497,0.00868418189184994,0.144865887164961,0.0187963193031185,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.633333333333333,0.0333333333333333,0,0,0,1,0.38,0.02,0.4,0.95,0.18,0.05,0.479270812293557,0.0325376796954423,1,0.423062375256692,0.0352339918337539,1,0.140666930558656,0.0352231023332625,0.987,0.581034950598638,0.0403431497561775,1,-0.169483266493262,0.0403242703444535,0.99,0.517241939395571,0.0456721570346018,1,0.107498343655014,0.0365399563019389,0.84,-0.13471692395735,0.0418685484358736,0.892,0.0344498412365168,0.0366387458881545,0.0343636914630228,0.0421531373719434,0.0405688624878066,0.0465223932029639,0.0354212318624053,0.0417827653087511,0.179270812293557,0.123062375256692,0.281034950598638,0.217241939395571,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.6,0.6,0.6,0.3,0.95,0.05,0,0,0,1,0.57,0.03,0.6,0.95,0.18,0.05,0.480518195694522,0.0325428892838731,1,0.313935083726223,0.0397787147674173,1,0.277283886932063,0.0397796515397887,1,0.582365684606538,0.0403717163770476,1,-0.169605227920455,0.0403798338707112,0.991,0.354786064110754,0.0568122048534302,1,0.255150916050008,0.0454790935947255,1,-0.0458562574281647,0.0454762226267087,0.181,0.0322050727065219,0.0402937610683214,0.0403486644927144,0.0406079136731213,0.0408756686483032,0.0597952986283664,0.0474128980097102,0.0471827533655224,0.180518195694522,0.0139350837262231,0.282365684606538,0.0547860641107536,"sim","classical","norm",NA,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.9,0.1,0,0,0,1,0.18,0.02,0.2,0.9,0.06,0.1,0.357225023851453,0.0330329585363917,1,0.303322740388566,0.0326098690795796,1,0.271042487992406,0.0325949985778526,1,0.35963377454916,0.0337227838259948,1,-0.0119391441724411,0.033706436444434,0.075,0.308859329495303,0.0331760926134102,1,0.272932489367318,0.032665415773263,1,-0.0294764330193694,0.0326681197144692,0.146,0.0322476542304754,0.0322081624775399,0.0320111840142347,0.0330218927892885,0.0340429610316572,0.0328158562350718,0.0320853745332299,0.0330996243385744,0.0572250238514531,0.00332274038856634,0.0596337745491601,0.0088593294953031,"sim","classical","norm",NA,1000,1000,314
