"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.05,0.1,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.005,0,0.005,1,0.025,0.955,0.0261780104712042,0.955,0.0261780104712042,"NoV_WithX",0.327110798695126,0.0362390177043637,1,0.326810008918618,0.0362232136446153,1,0.0493851086392231,0.0353982958364411,0.291,0.327131052687593,0.0362568966975989,1,-0.00102813328294949,0.0354537502467891,0.058,0.326832198126487,0.0362410839710235,1,0.0493955328199657,0.0354172424230806,0.293,-0.00109525742458919,0.0354398284591902,0.056,0.0364337886414868,0.0364183066900615,0.0348616236870885,0.0364673385285237,0.0365805205297706,0.036451736835266,0.0349293338360951,0.0366177281136025,0.0271107986951263,0.0268100089186185,0.0271310526875928,0.0268321981264869,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.015,0,0.015,1,0.025,0.955,0.0261780104712042,0.955,0.0261780104712042,"NoV_WithX",0.325475390617588,0.03628389182925,1,0.323179183814258,0.0359842973585301,1,0.147990123335902,0.0350941314043586,0.984,0.325502230279958,0.0363012854099386,1,0.000624227006902059,0.0354204985907127,0.056,0.323206731112082,0.0360017292855148,1,0.147974247705403,0.0351133855367556,0.984,0.000920970723662312,0.0351264241357672,0.057,0.0353699455049714,0.0348475469567474,0.0366235892926044,0.0353268826884791,0.0357149210627279,0.0348020538561635,0.0365990745357762,0.035277177972496,0.0254753906175883,0.0231791838142578,0.025502230279958,0.0232067311120822,"sim","classical","norm",NA,1000,1000,314
0.05,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.025,0,0.025,1,0.025,0.955,0.0261780104712042,0.955,0.0261780104712042,"NoV_WithX",0.324818642859213,0.0361991929079614,1,0.318443720906736,0.0353108431916029,1,0.249927767040772,0.0345485407692552,1,0.32483198213834,0.0362171037365825,1,0.000970899242170071,0.035422520089625,0.053,0.318448272992425,0.0353282905832673,1,0.249943835782296,0.034565584341606,1,0.000664456928640483,0.0345425306946649,0.054,0.0363633913047768,0.0352677920994097,0.0352256476079759,0.0364470074301361,0.0350902895369034,0.0353431640807047,0.0352399658618346,0.03437425751048,0.0248186428592126,0.0184437209067355,0.0248319821383404,0.018448272992425,"sim","classical","norm",NA,1000,1000,314
0.05,0.7,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.035,0,0.035,1,0.025,0.955,0.0261780104712042,0.955,0.0261780104712042,"NoV_WithX",0.326226661915999,0.036236995898525,1,0.313584087199817,0.0344466190372141,1,0.351084630787349,0.0337122209937713,1,0.326209564996119,0.0362560192449463,1,-0.000294994192690254,0.0354876445122151,0.053,0.31357792188459,0.0344645297954262,1,0.351094923348519,0.0337287848159644,1,-0.000278938658332326,0.0337152185925816,0.05,0.0357792029657949,0.0345692240774798,0.0335632768285875,0.0358385254012074,0.0353495529279313,0.0346095933814679,0.0336203245122931,0.0337522891052498,0.0262266619159988,0.0135840871998166,0.0262095649961187,0.0135779218845902,"sim","classical","norm",NA,1000,1000,314
0.05,0.9,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.045,0,0.045,1,0.025,0.955,0.0261780104712042,0.955,0.0261780104712042,"NoV_WithX",0.328001807620793,0.0362127371625978,1,0.306576220625314,0.0332200379408265,1,0.449091051434026,0.0324750519122472,1,0.328054566778938,0.0362301109684909,1,-0.000175789964261049,0.0353809345933611,0.0500000000000001,0.306625864468145,0.0332359639359852,1,0.44908800775128,0.0324907892176847,1,0.000170223896766273,0.0324212637785967,0.052,0.0368675474296168,0.0338759811341434,0.0311517921179159,0.036860959975501,0.0357752193776339,0.0338656171074839,0.0311603265536095,0.0328956690383427,0.028001807620793,0.00657622062531421,0.0280545667789383,0.006625864468145,"sim","classical","norm",NA,1000,1000,314
0.1,0.1,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.01,0,0.01,1,0.05,0.955,0.0523560209424084,0.955,0.0523560209424084,"NoV_WithX",0.350593160484787,0.0362322452224139,1,0.350154923271173,0.0362157380228205,1,0.0484940485383651,0.0354169556628422,0.286,0.350547990882018,0.0362506368107516,1,0.00109624628245574,0.0354657351642647,0.044,0.350111031030804,0.0362341485313898,1,0.0484846047820876,0.0354343459388219,0.289,0.00118849261377637,0.0354488772746101,0.045,0.0359112112723754,0.0359445647725467,0.0363285139535823,0.0359265465976776,0.0353189151623216,0.0359563560406897,0.036332907077757,0.0352750236339774,0.0505931604847873,0.0501549232711734,0.0505479908820181,0.0501110310308042,"sim","classical","norm",NA,1000,1000,314
0.1,0.3,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.03,0,0.03,1,0.05,0.955,0.0523560209424084,0.955,0.0523560209424084,"NoV_WithX",0.350830653039333,0.0362273643939439,1,0.346173068828805,0.0359500320447765,1,0.146283589943502,0.0351024538338286,0.982,0.350745799968913,0.0362458089372283,1,-0.000552937105905925,0.0354236667936181,0.045,0.346093972619884,0.0359682872548031,1,0.146275767834323,0.0351209233561803,0.982,-0.000755826167476017,0.0351356661340752,0.049,0.036232986329137,0.0357721197442066,0.0369837879504272,0.0361709184471805,0.035566793512739,0.0357183247591623,0.0370361004511127,0.035260609561804,0.0508306530393332,0.0461730688288051,0.0507457999689134,0.0460939726198839,"sim","classical","norm",NA,1000,1000,314
0.1,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.05,0,0.05,1,0.05,0.955,0.0523560209424084,0.955,0.0523560209424084,"NoV_WithX",0.354428564513591,0.0361385111988621,1,0.341068123208767,0.0353066627329802,1,0.24777500366046,0.034553831964498,1,0.354478864266641,0.036157746143408,1,-0.00157527399884518,0.0353694726496731,0.046,0.34111098082447,0.0353253607801332,1,0.247795211332015,0.0345709250181253,1,-0.00183089546954437,0.0345059209597673,0.0420000000000001,0.03733549448888,0.0361013620109663,0.0349802595362337,0.0373836542342891,0.0350574762392096,0.0361404888772762,0.0350183233346472,0.0343509296195698,0.0544285645135914,0.0410681232087673,0.0544788642666406,0.0411109808244695,"sim","classical","norm",NA,1000,1000,314
0.1,0.7,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.07,0,0.07,1,0.05,0.955,0.0523560209424084,0.955,0.0523560209424084,"NoV_WithX",0.348725993245512,0.0361942379451263,1,0.323932538708655,0.0345025599335238,1,0.347566491743017,0.033692456984326,1,0.348791262018235,0.0362134195838934,1,0.00121062602392634,0.0353943364514452,0.038,0.323999236934492,0.0345207730017094,1,0.34758944717486,0.0337103132168824,1,0.00131023539658618,0.0336585928415635,0.038,0.0363020661732268,0.0344639839831918,0.0333775664296893,0.0363581545592075,0.0344910398670641,0.0345254099059693,0.0333507470318627,0.0329065219657656,0.0487259932455125,0.0239325387086554,0.0487912620182354,0.0239992369344918,"sim","classical","norm",NA,1000,1000,314
0.1,0.9,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.09,0,0.09,1,0.05,0.955,0.0523560209424084,0.955,0.0523560209424084,"NoV_WithX",0.354449364768991,0.0361993727073485,1,0.312148256136716,0.0333639499587287,1,0.446540030841717,0.0325897588199333,1,0.354382260877275,0.0362177669197186,1,-0.00218989980317952,0.0354054433400591,0.05,0.312078848848584,0.0333815705491991,1,0.446485763777111,0.0326059371156646,1,-0.00168371848418987,0.0324907307842149,0.054,0.0355876109957091,0.0322696184698298,0.032731829742534,0.0356513177726939,0.0358333415838542,0.0323327157809084,0.0327311801676394,0.0323416382628882,0.0544493647689915,0.0121482561367163,0.0543822608772748,0.0120788488485835,"sim","classical","norm",NA,1000,1000,314
