"design","rho_target","a1","a2","c1","c2","b0","b1","b2","a0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","f_target","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
"D1_WithX",0.1,0.408248290463863,3.72529029846191e-09,0.244948974278318,3.72529029846191e-09,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,1.38777878078145e-17,0.1,1,0.122474487139159,0.955,0.128245536271371,0.955,0.128245536271371,1.38777878078145e-16,0.42909549603689,0.033578223849256,1,0.422663649385677,0.0337159946124547,1,0.0611276429803106,0.0329698957236062,0.458,0.429110233533275,0.0335947868876641,1,-0.00120549174004141,0.032866482116234,0.041,0.422680038436698,0.0337326798682462,1,0.061126487743075,0.0329873010090743,0.454,-0.00129561531823674,0.032829185257973,0.045,0.0340953151773784,0.0341738612272971,0.0321261545117684,0.0341283071743151,0.0339448627647105,0.034209302239053,0.032234352411965,0.0339790029446538,0.12909549603689,0.122663649385677,0.129110233533275,0.122680038436698,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.15,0.408248290463863,0.223606797749979,0.244948974278318,0.223606797749979,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.05,0.15,0.666666666666667,0.122474487139159,0.955,0.128245536271371,0.905,0.135330925015645,0.333333333333334,0.427620409714027,0.0336355941395001,1,0.419032456069085,0.0339994819319566,1,0.0550825290531792,0.033243703888676,0.387,0.434463362552829,0.034563683815366,1,-0.0293243626516935,0.0338019429688994,0.124,0.427559354894893,0.0347157249479927,1,0.063074343157749,0.0338849332123138,0.471,-0.0417523360880118,0.0344178568086211,0.229,0.0337737878108451,0.0341610241026483,0.0340414516044935,0.0343053713945549,0.0329023339895308,0.0345308750386106,0.0348023989476197,0.0336329825965272,0.127620409714027,0.119032456069085,0.134463362552829,0.127559354894893,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.2,0.408248290463863,0.316227766016838,0.244948974278318,0.316227766016838,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.1,0.2,0.5,0.122474487139159,0.955,0.128245536271371,0.855,0.143245014197847,0.5,0.428620182784433,0.0336131954769534,1,0.418016050770974,0.0343306760279774,1,0.050335453451961,0.0335451137166512,0.327,0.442737831827509,0.035499917828981,1,-0.0429477025080724,0.0347249417863651,0.236,0.434837863267685,0.0356970323657464,1,0.0663064779675019,0.0347861546962281,0.492,-0.0613196906067784,0.0359964981374838,0.394,0.034035894947729,0.0345347340063486,0.0334920654451498,0.0360772227704654,0.0346623467068744,0.0361929266846821,0.0345074511925737,0.0357910396312264,0.128620182784433,0.118016050770974,0.142737831827509,0.134837863267685,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.25,0.408248290463863,0.387298334620742,0.244948974278318,0.387298334620742,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.15,0.25,0.4,0.122474487139159,0.955,0.128245536271371,0.805,0.152142220048645,0.6,0.4302150831158,0.0336021248547739,1,0.418815814602732,0.0347600000684268,1,0.0433258180501874,0.0339277209797942,0.25,0.453660863126673,0.0365505696890397,1,-0.0578874865054551,0.0357372591041256,0.36,0.445072176996286,0.0367817062432235,1,0.0680883356007731,0.0357784166744494,0.484,-0.0810250297993979,0.0377053109359264,0.567,0.0335821751862136,0.0343348521934976,0.0332297385337227,0.0361307233622132,0.0347906303854092,0.0363006820140065,0.0346480639788889,0.0362199855768377,0.1302150831158,0.118815814602732,0.153660863126673,0.145072176996286,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.3,0.408248290463863,0.447213595499958,0.244948974278318,0.447213595499958,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.2,0.3,0.333333333333333,0.122474487139159,0.955,0.128245536271371,0.755,0.162217863760475,0.666666666666667,0.429092220473103,0.0336523758914393,1,0.417060356412338,0.0353447429527993,1,0.0384793911084491,0.0345339317811034,0.206,0.461807093283251,0.0377865486905517,1,-0.0697656332411056,0.0369054861870089,0.465,0.452415292127009,0.0380458127228324,1,0.0716322767873759,0.0369705803149095,0.478,-0.0976273691309845,0.0395578736680673,0.67,0.0334072234453606,0.0346727084443671,0.0333406587204979,0.03788332507838,0.0374911537699581,0.0379116740364672,0.0358975450429025,0.0404122154563088,0.129092220473103,0.117060356412338,0.161807093283251,0.152415292127009,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.35,0.408248290463863,0.5,0.244948974278318,0.5,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.25,0.35,0.285714285714286,0.122474487139159,0.955,0.128245536271371,0.705,0.173722676793133,0.714285714285714,0.42784462873369,0.0336481302985907,1,0.415872009509946,0.0360354724448916,1,0.0328626829328093,0.035182754280612,0.15,0.472904829483862,0.0390555246380614,1,-0.0862751572710262,0.0381565254167212,0.636,0.462133892042272,0.0393782517552342,1,0.0757923556444388,0.0381246082932557,0.523,-0.118626074257806,0.0414343246652463,0.802,0.0320459863125824,0.0344907233155174,0.0354002362974913,0.0382509488728158,0.0378431153741405,0.0383902024809313,0.0385762347716689,0.0415453954273913,0.12784462873369,0.115872009509946,0.172904829483862,0.162133892042272,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.4,0.408248290463863,0.547722557505166,0.244948974278318,0.547722557505166,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.3,0.4,0.25,0.122474487139159,0.955,0.128245536271371,0.655,0.186983949830777,0.75,0.425703629202647,0.0335961344510366,1,0.414788125740511,0.0368258183912729,1,0.0260991187870605,0.0360314326749303,0.11,0.483313274003384,0.0404532905692033,1,-0.100484543869247,0.0395626339140017,0.73,0.471342412534337,0.0408407443507765,1,0.0784494095764452,0.0395519728470041,0.512999999999999,-0.136841710064093,0.0435573888383634,0.879,0.0338523475965167,0.0371198315225146,0.0368141817599096,0.0413026500630077,0.0399624894750609,0.0417364437547566,0.0395775990493886,0.042924504174534,0.125703629202647,0.114788125740511,0.183313274003384,0.171342412534337,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.45,0.408248290463863,0.591607978309962,0.244948974278318,0.591607978309962,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.35,0.45,0.222222222222222,0.122474487139159,0.955,0.128245536271371,0.605,0.202437168825056,0.777777777777778,0.429288535580583,0.0335903376262038,1,0.420194119344363,0.0378629198656175,1,0.0190888280961322,0.0369898097652935,0.0829999999999999,0.504654783722954,0.0420467944530181,1,-0.121641452862331,0.0410941528131892,0.837,0.490702885489812,0.0425225469371725,1,0.0839645132679767,0.0410344942925997,0.524,-0.163184255464601,0.045780105549538,0.952,0.0331900956718488,0.0373575963252226,0.0374426450922569,0.0421293746969503,0.0410206658118171,0.0425713805687475,0.0410789373421878,0.0454322508911751,0.129288535580584,0.120194119344363,0.204654783722954,0.190702885489812,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.5,0.408248290463863,0.632455532033676,0.244948974278318,0.632455532033676,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.4,0.5,0.2,0.122474487139159,0.955,0.128245536271371,0.555,0.220674751602088,0.8,0.429050867558382,0.033639831718469,1,0.422018073077661,0.0391218097527727,1,0.0134572398005911,0.0382179744223516,0.066,0.520868314709702,0.0439181913268349,1,-0.138620298096622,0.0429068728513057,0.899,0.505073752659048,0.0444951871419422,1,0.0890150229590904,0.0427861738782058,0.559,-0.18494727219676,0.0482819359426474,0.969,0.0327331232623193,0.0393730291107773,0.0388901356053712,0.0437524467192174,0.0426128012980675,0.0446443874135662,0.0434434299839115,0.0475573823345389,0.129050867558382,0.122018073077661,0.220868314709702,0.205073752659048,"sim","classical","norm",NA,1000,1000,314
"D1_WithX",0.55,0.408248290463863,0.670820393249937,0.244948974278318,0.670820393249937,0,0.3,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.45,0.55,0.181818181818182,0.122474487139159,0.955,0.128245536271371,0.505,0.242523736909226,0.818181818181818,0.429264910638318,0.0336287537561999,1,0.427321435059002,0.0407107399916389,1,0.00343065078912709,0.0397634584841491,0.047,0.544858018556657,0.0460102558870282,1,-0.164199015214352,0.0449240364933312,0.95,0.526641678135363,0.0467660373980701,1,0.0928506605985027,0.0448015792055388,0.548,-0.214310931551072,0.0509561576216333,0.98,0.0336025963105119,0.0402114214241719,0.0396971640704589,0.0459395348689529,0.0457551440510452,0.0461645086032743,0.0460460189514509,0.053133407802261,0.129264910638318,0.127321435059002,0.244858018556657,0.226641678135363,"sim","classical","norm",NA,1000,1000,314
