"f_target","b1","design","rho_target","a1","a2","b0","b2","c1","c2","a0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","f_achieved","a2_rule","a2_chosen","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.65,0.3,"D2_highRho_unequalA2_WithX",0.6,0.25,0.914722181384559,0,0.3,0.84,0.42635896224762,0,0,1,0.15,0.15,0.2,0.2,0.5,0.21,0.39,0.6,0.35,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.65,"max_feasible_given_X",0.914722181384559,0.377848550901455,0.0337657211441924,1,0.169741485857867,0.0414800228195681,0.986,0.330539179513973,0.0405264337550693,1,0.93660666567832,0.09400294570052,1,-0.58359824544058,0.0918849913282447,1,0.461543673069566,0.125592615055263,0.958,0.267673127461119,0.0478103635882728,1,-0.263459128738235,0.107065070363663,0.689,0.0351695852396352,0.0417199161860643,0.039264393776076,0.0960201773852892,0.0931109903007676,0.124518027273877,0.0455657067212229,0.106909053611317,0.0778485509014553,-0.130258514142133,0.63660666567832,0.161543673069566,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2_WithX",0.6,0.25,0.914722181384559,0,0.3,0.72,0.459155805497437,0,0,1,0.15,0.15,0.2,0.2,0.5,0.18,0.42,0.6,0.3,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.7,"max_feasible_given_X",0.914722181384559,0.379277967149585,0.0337944968780874,1,0.209609303292902,0.0418958648615551,0.998,0.270329447843119,0.0409229514120625,1,0.933574776041622,0.0942265641054373,1,-0.578966005639822,0.0921207809414534,1,0.633105289253889,0.115445639215473,0.999,0.197432283727894,0.0446570019665138,0.99,-0.394554031274124,0.100321644080901,0.977,0.0341618413333367,0.0416685666171463,0.0418880008451681,0.0942651065974411,0.0899434816786939,0.114769214790922,0.0456000588941197,0.0975542777438188,0.0792779671495846,-0.0903906967070979,0.633574776041622,0.333105289253889,"sim","classical","norm",NA,1000,1000,314
0.75,0.3,"D2_highRho_unequalA2_WithX",0.6,0.25,0.914722181384559,0,0.3,0.6,0.491952648747254,0,0,1,0.15,0.15,0.2,0.2,0.5,0.15,0.45,0.6,0.25,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.75,"max_feasible_given_X",0.914722181384559,0.380521110608628,0.0337974259718224,1,0.246777508750243,0.0422543884165644,1,0.212868511465772,0.041240511367396,1,0.932572174161307,0.0940919090426127,1,-0.576382490527605,0.091944888011683,1,0.742765654166977,0.108240669114917,1,0.149128154242874,0.0427292760988338,0.94,-0.476025308994014,0.0958563825897835,0.999,0.0337600009146244,0.0417515296076618,0.0420136967521136,0.0958800038594766,0.0935280096975879,0.107914152420698,0.0430582714016936,0.0967355209820664,0.0805211106086277,-0.0532224912497573,0.632572174161307,0.442765654166977,"sim","classical","norm",NA,1000,1000,314
0.8,0.3,"D2_highRho_unequalA2_WithX",0.6,0.25,0.914722181384559,0,0.3,0.48,0.524749491997071,0,0,1,0.15,0.15,0.2,0.2,0.5,0.12,0.48,0.6,0.2,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.8,"max_feasible_given_X",0.914722181384559,0.380432288763834,0.0337823638585111,1,0.283776589946067,0.0425486060084102,1,0.153494016814042,0.0415171995613497,0.962,0.935434119577251,0.0940172413840969,1,-0.579518519550932,0.0918584270431335,1,0.823075342125021,0.102829521259016,1,0.110371806222299,0.0415495504596105,0.759,-0.534775222917461,0.093115852874655,1,0.0339680386303683,0.0408267110538353,0.0400681038100936,0.0933661074399965,0.0902004689614982,0.100170121466964,0.0398214212952564,0.0910269063634957,0.0804322887638338,-0.0162234100539328,0.635434119577251,0.523075342125021,"sim","classical","norm",NA,1000,1000,314
0.85,0.3,"D2_highRho_unequalA2_WithX",0.6,0.25,0.914722181384559,0,0.3,0.36,0.557546335246888,0,0,1,0.15,0.15,0.2,0.2,0.5,0.0899999999999999,0.51,0.6,0.15,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.85,"max_feasible_given_X",0.914722181384559,0.380722616101765,0.0337903666307218,1,0.320282172770645,0.0427187343150345,1,0.0961815034677265,0.0417492185031466,0.64,0.933255043441093,0.094244124645462,1,-0.576695688694653,0.0920826292306979,1,0.87194881774019,0.0991360333843138,1,0.080837074517497,0.0410748644651724,0.494,-0.565729576940278,0.0921222942138019,1,0.033528392643018,0.0419169155366839,0.040373673078735,0.0959008695754464,0.0944193711939018,0.0992471199592542,0.0396601941753019,0.0941553151492131,0.0807226161017651,0.0202821727706453,0.633255043441093,0.57194881774019,"sim","classical","norm",NA,1000,1000,314
0.9,0.3,"D2_highRho_unequalA2_WithX",0.6,0.25,0.914722181384559,0,0.3,0.24,0.590343178496705,0,0,1,0.15,0.15,0.2,0.2,0.5,0.06,0.54,0.6,0.1,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.9,"max_feasible_given_X",0.914722181384559,0.378283437540676,0.0338060032345147,1,0.353279343956422,0.0427842441407353,1,0.0399621906805466,0.0417752940277906,0.15,0.931898094082633,0.0942035599668226,1,-0.577732378783492,0.092019479298625,1,0.904430269726599,0.0964732636563231,1,0.0541526986138097,0.0410366059531417,0.261,-0.584454419222343,0.0921224186350261,1,0.0319674613557441,0.0413477280593807,0.0421953562445566,0.0931064265234179,0.0921240989728492,0.0948502884478793,0.0417370406376781,0.0923061502998582,0.078283437540676,0.0532793439564222,0.631898094082633,0.604430269726599,"sim","classical","norm",NA,1000,1000,314
0.95,0.3,"D2_highRho_unequalA2_WithX",0.6,0.25,0.914722181384559,0,0.3,0.12,0.623140021746522,0,0,1,0.15,0.15,0.2,0.2,0.5,0.03,0.57,0.6,0.0499999999999999,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.95,"max_feasible_given_X",0.914722181384559,0.377498762993906,0.0337605595133096,1,0.389309813335707,0.0427776846971123,1,-0.0187890876815067,0.0418316435356605,0.0780000000000001,0.925272676947795,0.0941220671748001,1,-0.572077161033609,0.092001681725245,1,0.91851737700307,0.0947378975252684,1,0.0266043968213893,0.0417000642687729,0.088,-0.582433881285814,0.0934675977835757,1,0.0336597593224767,0.0421795013922266,0.0423528348935019,0.0951654917079365,0.0932094284598547,0.0960095828678308,0.0418450250103764,0.0939289355809261,0.0774987629939059,0.0893098133357066,0.625272676947795,0.61851737700307,"sim","classical","norm",NA,1000,1000,314
1,0.3,"D2_highRho_unequalA2_WithX",0.6,0.25,0.914722181384559,0,0.3,0,0.655936864996339,0,0,1,0.15,0.15,0.2,0.2,0.5,0,0.6,0.6,0,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,1,"max_feasible_given_X",0.914722181384559,0.378505563890613,0.0337480226431131,1,0.426227249095702,0.042734547227163,1,-0.0759286312647869,0.041753682987436,0.453,0.937674132624374,0.0940552272638015,1,-0.583863440383159,0.0919257202691479,1,0.937502539922947,0.0941038730194774,1,0.000375205493104833,0.042906069964029,0.045,-0.583980829694974,0.0961971993928388,1,0.0329195437902757,0.0412002263348114,0.0424758858646535,0.0939551611600118,0.0925575188122289,0.0940566778469316,0.0431560160922355,0.0967321762168351,0.0785055638906128,0.126227249095702,0.637674132624374,0.637502539922947,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2_WithX",0.7,0.25,0.914722181384559,0,0.3,0.84,0.535681773080343,0,0,1,0.15,0.15,0.2,0.2,0.5,0.21,0.49,0.7,0.3,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.7,"max_feasible_given_X",0.914722181384559,0.377848550901455,0.0337657211441924,1,0.0792615144194325,0.0466306029070901,0.38,0.406750971713586,0.0455509117069612,1,0.93660666567832,0.09400294570052,1,-0.58359824544058,0.0918849913282447,1,0.314413286137729,0.133508962178305,0.648,0.350529736031979,0.0544298633768338,1,-0.202516025133204,0.10777293367011,0.467,0.0351695852396352,0.0464717163724501,0.0444261103761294,0.0960201773852892,0.0931109903007676,0.131531489684461,0.0521604535652919,0.107169935914397,0.0778485509014553,-0.220738485580567,0.63660666567832,0.0144132861377285,"sim","classical","norm",NA,1000,1000,314
0.75,0.3,"D2_highRho_unequalA2_WithX",0.7,0.25,0.914722181384559,0,0.3,0.7,0.573944756871796,0,0,1,0.15,0.15,0.2,0.2,0.5,0.175,0.525,0.7,0.25,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.75,"max_feasible_given_X",0.914722181384559,0.379277967149585,0.0337944968780874,1,0.146592588068542,0.0472987968758345,0.874,0.317658030501458,0.0462012358760733,1,0.933574776041622,0.0942265641054373,1,-0.578966005639822,0.0921207809414534,1,0.577912058671843,0.118827759517748,0.999,0.240375119955099,0.0498605699873589,0.996,-0.391383558742334,0.0990413452453238,0.977,0.0341618413333367,0.0470335347760042,0.0472611192973997,0.0942651065974411,0.0899434816786939,0.11799045734775,0.0508370400151809,0.0961606643079954,0.0792779671495846,-0.153407411931458,0.633574776041622,0.277912058671843,"sim","classical","norm",NA,1000,1000,314
