"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.05,0.1,0.5,0.3,0,0,0,0,0,1,0.005,0,0.005,1,0.025,"NoV",0.328616586247084,0.0350187996605528,0.999,0.328298639938812,0.0349870530134305,0.999,0.0538830421993373,0.0354180627111986,0.347,0.328562119834291,0.0350535204365192,0.999,-0.00128788749142589,0.0347026405977304,0.044,0.328243728875055,0.0350218960355084,0.999,0.0539262495857754,0.0354464957546134,0.345,-0.001335878054746,0.0346925091093485,0.04,0.0366199316018662,0.0366356833140974,0.0382668888100954,0.0367140826940252,0.0341070231865995,0.0367281381887955,0.0382486851398661,0.0341099098783292,0.0286165862470836,0.028298639938812,0.0285621198342914,0.0282437288750549,"sim","HC1","t",3,1000,1000,314
0.05,0.3,0.5,0.3,0,0,0,0,0,1,0.015,0,0.015,1,0.025,"NoV",0.324603402330699,0.0349487796784229,0.999,0.322199580483369,0.0345709686926236,0.999,0.158936897095704,0.0393835025231662,0.964,0.324653498126356,0.0349872190466232,0.999,-0.000840078158354558,0.034958759364265,0.049,0.322243559409571,0.0346074763757471,0.999,0.158969471896163,0.0393966543030833,0.962,-0.000816511189212604,0.0346121413253746,0.0509999999999999,0.0353762472144421,0.035070670112912,0.0427461712270326,0.0354348245582451,0.0356744345143707,0.0351356226905012,0.0427776222184964,0.0355199908698645,0.0246034023306992,0.0221995804833688,0.0246534981263564,0.0222435594095712,"sim","HC1","t",3,1000,1000,314
0.05,0.5,0.5,0.3,0,0,0,0,0,1,0.025,0,0.025,1,0.025,"NoV",0.328039402341516,0.0350551736363425,1,0.320880897259658,0.0340169013270669,1,0.257866201158933,0.0430259939078099,0.989,0.328035972102987,0.0350684042641213,1,0.000225588296550181,0.0348766447016306,0.058,0.320872875367231,0.0340316602205062,1,0.257856157501629,0.0430410094254232,0.988,0.000284053977824652,0.0339319711635008,0.054,0.0374848948595514,0.0364324963234374,0.0500610336579781,0.0374993253446955,0.0363412820813186,0.0364437315075527,0.0500307480630443,0.0352514052411781,0.0280394023415162,0.0208808972596577,0.0280359721029869,0.0208728753672314,"sim","HC1","t",3,1000,1000,314
0.05,0.7,0.5,0.3,0,0,0,0,0,1,0.035,0,0.035,1,0.025,"NoV",0.324537368814269,0.0349392708018199,1,0.311560026977831,0.0329549837247619,1,0.356370205353033,0.0421906298169331,0.994,0.324536922657711,0.0349669987824686,1,-0.000667125864824103,0.0348827938236429,0.056,0.311546599901671,0.0329792352686776,1,0.356352972000529,0.042194917824485,0.994,-0.000344028773148889,0.03302600278792,0.0580000000000001,0.0371200336745064,0.034597752472009,0.0497107299433344,0.0371534660171593,0.0363510879712937,0.0346330052800816,0.0497180544027848,0.0345161646376621,0.0245373688142692,0.0115600269778313,0.0245369226577112,0.0115465999016708,"sim","HC1","t",3,1000,1000,314
0.05,0.9,0.5,0.3,0,0,0,0,0,1,0.045,0,0.045,1,0.025,"NoV",0.326223987879287,0.0348644483774827,1,0.304424605874602,0.0314826012028974,1,0.453150539622481,0.0351910511550637,0.998,0.326246003453865,0.0348750472149865,1,0.00112192832759882,0.0349259135130856,0.0420000000000001,0.304439170573985,0.0314929830452693,1,0.453105202344574,0.0351959273586336,0.998,0.00115804215681585,0.0318045198525649,0.044,0.0373230052474836,0.0342819113776945,0.0389074250734436,0.0373188146914765,0.0352931991688462,0.0342833250723192,0.0389066793105489,0.0317258856818878,0.0262239878792871,0.0044246058746017,0.0262460034538648,0.00443917057398457,"sim","HC1","t",3,1000,1000,314
0.1,0.1,0.5,0.3,0,0,0,0,0,1,0.01,0,0.01,1,0.05,"NoV",0.351937222864361,0.0355874346768635,1,0.351342895612487,0.0355661055935105,1,0.0526286369069981,0.0356399962646662,0.346,0.351962408335023,0.0356011607627447,1,0.000177999415045087,0.0347724585730269,0.055,0.351362850014251,0.0355803638945628,1,0.0526829943456492,0.0356600779645609,0.348,0.000190894767806034,0.0347556085370779,0.056,0.0384420841661502,0.0382845119763902,0.0383495295865532,0.0384341354474612,0.0346015242174256,0.0382788730157369,0.0384101610014571,0.0346980271968156,0.0519372228643614,0.0513428956124867,0.0519624083350226,0.0513628500142514,"sim","HC1","t",3,1000,1000,314
0.1,0.3,0.5,0.3,0,0,0,0,0,1,0.03,0,0.03,1,0.05,"NoV",0.351081070827479,0.0357069949105181,0.999,0.346422316623877,0.0352494008505357,0.998,0.159199534602251,0.0394425114907342,0.959,0.351064198696473,0.0357167766287301,0.999,0.00187231388588149,0.0347251181155962,0.054,0.346401787413909,0.0352588925354431,0.998,0.159225015810183,0.039450783837223,0.959,0.00183286904545218,0.0343911519328008,0.0509999999999999,0.0387361195510824,0.0382527357362126,0.0421783288034105,0.0388061503263491,0.0351463738277489,0.0383112261434236,0.0421945781128691,0.0349611753701657,0.0510810708274794,0.0464223166238773,0.0510641986964733,0.0464017874139094,"sim","HC1","t",3,1000,1000,314
0.1,0.5,0.5,0.3,0,0,0,0,0,1,0.05,0,0.05,1,0.05,"NoV",0.355251738089755,0.0356086236878146,0.998,0.341866047882933,0.0343983635196525,0.998,0.256095820610351,0.042655006781809,0.988,0.355223813672284,0.0356315335778707,0.998,-9.40281428441728e-05,0.0344441192589579,0.039,0.341849165254667,0.0344203340304721,0.998,0.256127093593081,0.0426528869560557,0.988,0.00044381548073995,0.0335263449224557,0.045,0.0371452060373452,0.0362342715198677,0.0482453727953506,0.0371914542943323,0.0353384138085958,0.0362731192711644,0.0482447852748628,0.0346958161278224,0.0552517380897547,0.0418660478829326,0.0552238136722837,0.041849165254667,"sim","HC1","t",3,1000,1000,314
0.1,0.7,0.5,0.3,0,0,0,0,0,1,0.07,0,0.07,1,0.05,"NoV",0.353846198527774,0.0356970646172814,1,0.327286998684102,0.0334006155650729,1,0.356694106532627,0.0423265044074807,0.993,0.353782886368814,0.0357158924067816,1,0.0014487770673528,0.0348892714749816,0.058,0.327223519241596,0.0334162636857633,1,0.356674686769744,0.0423292460419341,0.993,0.00128634181587291,0.0330217926564284,0.057,0.036152328765743,0.0337701751562771,0.0506167926433967,0.0361543795035022,0.0365843755989498,0.0337715533144814,0.0506499606319065,0.0347388912721842,0.0538461985277738,0.027286998684102,0.0537828863688141,0.0272235192415963,"sim","HC1","t",3,1000,1000,314
0.1,0.9,0.5,0.3,0,0,0,0,0,1,0.09,0,0.09,1,0.05,"NoV",0.353163570043159,0.0352181144336769,1,0.309677200443279,0.0314740692793844,1,0.449846234736585,0.0353667707507806,0.998,0.353170748631304,0.0352453941328548,1,0.000754708148283388,0.034566890984406,0.053,0.309680645237526,0.0314991995312811,1,0.449791178795357,0.0353774717184409,0.998,0.00077032000492494,0.0314771235514132,0.0459999999999999,0.0357002582883708,0.0321758748558234,0.0401765686620308,0.0356903980606304,0.035103275748546,0.0321715992068108,0.0401864581973528,0.0311816105061082,0.0531635700431591,0.00967720044327919,0.0531707486313041,0.0096806452375261,"sim","HC1","t",3,1000,1000,314
