"a1","a2","c1","c2","b1","b2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","rho_target","bias_target","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.5,0.5,0.05,0.35,0.1,0.3,0,0,0,1,0.025,0.175,0.2,0.125,0.05,0.2,0.05,"D1_FixRhoFixBias",0.35137664942759,0.0318278477115719,1,0.352509401633252,0.0325005008704697,1,-0.00568127482683203,0.0324543177374476,0.055,0.368848300202815,0.036729804368135,1,-0.0350402380006708,0.0367061019537626,0.166,0.36872019945077,0.0367642938305119,1,0.00377415881056105,0.033972773142467,0.05,-0.0362636766055987,0.0384403202863489,0.162,0.0315818041589546,0.0320311976599648,0.0328725337198534,0.0374561350354487,0.0371666014734858,0.0373767011515653,0.0345702571289368,0.0390557268189921,0.0513766494275902,0.0525094016332522,0.0688483002028153,0.0687201994507697,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.35,0.2,0.3,0,0,0,1,0.025,0.175,0.2,0.125,0.1,0.2,0.1,"D1_FixRhoFixBias",0.399152734173129,0.0321481174526799,1,0.401110697194179,0.0328298644047914,1,-0.0100386713811891,0.0328591339061548,0.067,0.4326352801655,0.0370925926486567,1,-0.0667246188599861,0.0370499141504805,0.44,0.432252278622323,0.0371286466556132,1,0.00803111130228805,0.0343525771138128,0.061,-0.069353733196512,0.0387946067343362,0.427,0.0324190192507771,0.0329352047036959,0.0334513580069319,0.0366797083117608,0.0374831171447119,0.0367172764937958,0.0346180258832934,0.0388640589149988,0.099152734173129,0.101110697194179,0.1326352801655,0.132252278622323,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.35,0.3,0.3,0,0,0,1,0.025,0.175,0.2,0.125,0.15,0.2,0.15,"D1_FixRhoFixBias",0.449581262624866,0.0327089269165605,1,0.452825283915819,0.0333962097389463,1,-0.0161560925231791,0.0333402585751364,0.094,0.499340871186897,0.0376807139682347,1,-0.099203087411411,0.0376174811581709,0.731,0.498977191574874,0.0377141555900809,1,0.010646610859511,0.0347954508964098,0.061,-0.102731066382957,0.0393927259701586,0.724,0.0321670066343896,0.0325689407917949,0.0340900927835979,0.037225080993944,0.0400857183951479,0.0372574976772791,0.0345714541539078,0.0410696752942375,0.149581262624866,0.152825283915819,0.199340871186897,0.198977191574874,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.35,0.4,0.3,0,0,0,1,0.025,0.175,0.2,0.125,0.2,0.2,0.2,"D1_FixRhoFixBias",0.500208564131345,0.0334492181859232,1,0.504096681028689,0.0341490267917291,1,-0.0191657783575726,0.034165932127348,0.098,0.566184044574775,0.0384078555451013,1,-0.132168397153436,0.0384555009629513,0.923,0.565686529506911,0.0384402331186482,1,0.0167903447995081,0.0355756032093358,0.0749999999999999,-0.137782388451915,0.0402713379896447,0.919,0.0325304460506692,0.0334038887370068,0.0352101371434256,0.0380981524919431,0.0392723384116548,0.0381148639996472,0.0363003556243899,0.0407911529044949,0.200208564131345,0.204096681028689,0.266184044574775,0.265686529506911,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.35,0.5,0.3,0,0,0,1,0.025,0.175,0.2,0.125,0.25,0.2,0.25,"D1_FixRhoFixBias",0.549603021792426,0.0345093431798571,1,0.554738058133331,0.0352341192294347,1,-0.025668788774587,0.0351943060707439,0.11,0.632643908324118,0.0394879337096593,1,-0.166336118126306,0.0394528919945125,0.991,0.631957304722677,0.039522949464829,1,0.0193423575066837,0.036530125915866,0.0720000000000002,-0.172786776445667,0.0413041585921935,0.986,0.0346363681141699,0.0351403656517639,0.0340168951175646,0.0389456543211038,0.039785673243806,0.0389410834230322,0.0351055114795965,0.0414839707342454,0.249603021792426,0.254738058133331,0.332643908324118,0.331957304722677,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.75,0.1,0.3,0,0,0,1,0.025,0.375,0.4,0.0625,0.05,0.4,0.05,"D1_FixRhoFixBias",0.350732992575608,0.0317724777940142,1,0.357873174114454,0.0346729362956085,1,-0.0178268437147852,0.0346312797606931,0.08,0.366547936909325,0.0366933859042158,1,-0.0316875015363985,0.0366866563585603,0.134,0.366349848000615,0.0367445162056991,1,0.00559491164292109,0.0480394419634938,0.061,-0.0357631086984211,0.0509002613577567,0.093,0.0305183085261561,0.0332168720370137,0.0355863087493835,0.0352173488774142,0.0359755399145187,0.0352481317168991,0.0501607114610588,0.0507488280684153,0.0507329925756081,0.0578731741144543,0.066547936909325,0.0663498480006152,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.75,0.2,0.3,0,0,0,1,0.025,0.375,0.4,0.0625,0.1,0.4,0.1,"D1_FixRhoFixBias",0.399753485571442,0.0321423039882781,1,0.41474565625661,0.0350686911831561,1,-0.0373236775228512,0.0350169356654883,0.194,0.433811313339929,0.0370766318849089,1,-0.067985329429087,0.0370650556998792,0.454,0.433381760528645,0.0371267527185137,1,0.0138186259034233,0.0485826269398022,0.059,-0.0781106700603993,0.0514797677875908,0.34,0.0316092653284399,0.0350282748440952,0.0349131266921965,0.036460695197329,0.0360191111914026,0.0366036375394655,0.049410901425766,0.051096312557804,0.0997534855714422,0.11474565625661,0.133811313339929,0.133381760528645,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.75,0.3,0.3,0,0,0,1,0.025,0.375,0.4,0.0625,0.15,0.4,0.15,"D1_FixRhoFixBias",0.449826689724511,0.0327102089485571,1,0.471910951726106,0.0356687903837273,1,-0.055102006404763,0.0356853489823699,0.34,0.500279495914332,0.0376557838709693,1,-0.100856508302149,0.037649881793277,0.752,0.499591837026283,0.0377087136207894,1,0.0209635032238031,0.0493631525674673,0.076,-0.116254152446047,0.0522061585398146,0.6,0.0309653453862378,0.0338680413831661,0.0364511552688149,0.0362122759200882,0.0390188282936397,0.0363069544616211,0.0500683757370388,0.0537078531774836,0.149826689724511,0.171910951726106,0.200279495914332,0.199591837026283,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.75,0.4,0.3,0,0,0,1,0.025,0.375,0.4,0.0625,0.2,0.4,0.2,"D1_FixRhoFixBias",0.498867419993032,0.0335304791607277,1,0.527392822787998,0.0365415256310574,1,-0.0712860706343089,0.0365487118086376,0.501,0.56525459429048,0.0384918540215166,1,-0.132949179185245,0.0385014011905216,0.912,0.564213709251591,0.0385450020736746,1,0.0305332394493909,0.0505050690277522,0.087,-0.155328615599035,0.0534195385148914,0.829,0.0329170006123417,0.0351578499371017,0.0359659892941961,0.0371937679114858,0.0390200673503177,0.0372396277371963,0.0493520671183003,0.0537174198165174,0.198867419993032,0.227392822787998,0.26525459429048,0.264213709251591,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.05,0.75,0.5,0.3,0,0,0,1,0.025,0.375,0.4,0.0625,0.25,0.4,0.25,"D1_FixRhoFixBias",0.550520560052132,0.0345068030967956,1,0.586245951345474,0.0375715076389939,1,-0.0890730039123371,0.0375833358195276,0.648,0.633361370538027,0.039522422021572,1,-0.165707241763722,0.0395332058982405,0.985,0.632170561427012,0.0395710267690965,1,0.0373401201489853,0.051811224609898,0.107,-0.193020281619921,0.0548221255960889,0.942,0.0337874846685386,0.036600984950572,0.0376535845598821,0.0386931039869443,0.0401028404516186,0.0387265102332405,0.0508673299101092,0.0543717840510983,0.250520560052132,0.286245951345474,0.333361370538027,0.332170561427012,"sim","classical","norm",NA,1000,1000,314
