"a1","a2","c1","c2","b1","b2","rho_target","f_target","r_c","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.159719141249985,0.696199596057783,0.156524758424985,0.682275604136627,0.3,0.3,0.5,0.95,0.7,0,0,0,1,0.025,0.475,0.5,0.05,0.0479157423749955,"D1_FixRho",0.347821139708964,0.0330344295302476,1,0.332687828438196,0.0381274566720829,1,0.0303181580032157,0.0381788401300103,0.121,0.393381636373391,0.0459391491746985,1,-0.065557179959544,0.0459450191539185,0.291,0.389348146857136,0.0459340755870434,1,0.0837533161195252,0.045179866529017,0.461,-0.119828222690595,0.0544090695897813,0.595,0.0327402156551333,0.0369984753868177,0.0371583230369613,0.0453099882764417,0.045685370357501,0.0451633332114207,0.0450587931599154,0.0553049261627003,0.0478211397089642,0.0326878284381965,0.093381636373391,0.0893481468571359,"sim","classical","norm",NA,1000,1000,314
0.225876975726313,0.677630927178939,0.221359436211786,0.66407830863536,0.3,0.3,0.5,0.9,0.7,0,0,0,1,0.0499999999999999,0.45,0.5,0.0999999999999999,0.0677630927178938,"D1_FixRho",0.366806652084769,0.0330032889407023,1,0.344659593129495,0.0381314639933259,1,0.0442028193729278,0.0381311284476331,0.222,0.42420353902522,0.0448532607270203,1,-0.0844800358949593,0.0447994040570019,0.463,0.413917487194908,0.044926895651307,1,0.109395834446667,0.0442048153889848,0.69,-0.150170211624887,0.0519902159679855,0.814,0.0336005878087573,0.038539031715507,0.0390793415194747,0.0443317132289054,0.0446878329190607,0.0443466723390891,0.0450829708887957,0.0512980812085339,0.0668066520847692,0.0446595931294949,0.12420353902522,0.113917487194908,"sim","classical","norm",NA,1000,1000,314
0.276641667586244,0.658538889806635,0.271108834234519,0.645368112010502,0.3,0.3,0.5,0.85,0.7,0,0,0,1,0.075,0.425,0.5,0.15,0.0829925002758732,"D1_FixRho",0.383049004252466,0.0329178922545618,1,0.356419388799664,0.0379699349432839,1,0.0533388545138289,0.0379539259565229,0.29,0.446661270536876,0.0436391661958078,1,-0.0965633504814197,0.0436391469978104,0.593,0.43049538109805,0.043853986775523,1,0.122909145572292,0.0431887612869614,0.821,-0.165259489065515,0.0497302658898125,0.919,0.0326935709261027,0.0381396162748943,0.0381040036712006,0.0441025044777467,0.0436170268343481,0.0442602494208213,0.0433662107593845,0.0494658538504061,0.0830490042524658,0.0564193887996635,0.146661270536876,0.13049538109805,"sim","classical","norm",NA,1000,1000,314
0.31943828249997,0.63887656499994,0.31304951684997,0.626099033699941,0.3,0.3,0.5,0.8,0.7,0,0,0,1,0.1,0.4,0.5,0.2,0.095831484749991,"D1_FixRho",0.396456584542264,0.0329369907238547,1,0.36669914365441,0.0380056766252955,1,0.0596063658784211,0.0380096563624406,0.336,0.464506840746805,0.04268254309626,1,-0.106519656681858,0.0426669866438724,0.705,0.442371565472564,0.0431068256400673,1,0.130965492318749,0.0425611510742166,0.867,-0.174301491796158,0.0478677799454158,0.955,0.03276322078653,0.0379835827113747,0.0382526038395336,0.0429601891359361,0.0434221095954363,0.0433758730752161,0.0425340057341675,0.0481827921661379,0.0964565845422641,0.0666991436544104,0.164506840746805,0.142371565472564,"sim","classical","norm",NA,1000,1000,314
0.357142857142857,0.618589574131742,0.35,0.606217782649107,0.3,0.3,0.5,0.75,0.7,0,0,0,1,0.125,0.375,0.5,0.25,0.107142857142857,"D1_FixRho",0.405592792295029,0.0328831323553033,1,0.371631300372635,0.0379496914412078,1,0.0678432115326113,0.0379363292609798,0.442,0.472538188678711,0.0417077437496999,1,-0.108140290676099,0.041666992083039,0.735,0.444688256284859,0.0423700176784901,1,0.136997704176817,0.0419037702034938,0.896,-0.174089375244078,0.0461067157923334,0.963,0.0340392334869889,0.0386966942418771,0.0391730183964803,0.0441236125552214,0.043339351060599,0.0442935850145518,0.0434416721652335,0.0479127827744189,0.105592792295029,0.0716313003726353,0.172538188678711,0.144688256284859,"sim","classical","norm",NA,1000,1000,314
0.391230398217976,0.597614304667197,0.383405790253616,0.585662018573853,0.3,0.3,0.5,0.7,0.7,0,0,0,1,0.15,0.35,0.5,0.3,0.117369119465393,"D1_FixRho",0.417406263331261,0.032807080964641,1,0.380251215511401,0.0378423786344293,1,0.0744020257840097,0.0378747217986849,0.498,0.482860335149324,0.0407911952453093,1,-0.109572042164669,0.0408403349478393,0.77,0.450092355984007,0.0417158478073466,1,0.140079018242512,0.0412900621631577,0.926,-0.171976240704494,0.0445968839360568,0.97,0.0325658979000663,0.0380784157615227,0.0386736153356861,0.0404872074934384,0.0407906542345698,0.0417330620759011,0.0417367878656296,0.0443892010452538,0.117406263331261,0.0802512155114006,0.182860335149324,0.150092355984007,"sim","classical","norm",NA,1000,1000,314
0.422577127364258,0.575875553449896,0.414125584816973,0.564358042380898,0.3,0.3,0.5,0.65,0.7,0,0,0,1,0.175,0.325,0.5,0.35,0.126773138209277,"D1_FixRho",0.42717808113996,0.0328222203356118,1,0.387552601558391,0.0378204131882851,1,0.0794036362088461,0.037865937430612,0.574,0.490568291324144,0.0399892692818332,1,-0.110234782026534,0.0400021227969738,0.771,0.453546854843769,0.0411729576084733,1,0.141773788724059,0.0408511931882182,0.936,-0.16887676677708,0.0432260124289284,0.972,0.0326953346856259,0.0370225069607512,0.0380073683003376,0.0402913254004922,0.0412721471335827,0.0410198937674154,0.0401007315635204,0.0437971004985167,0.12717808113996,0.0875526015583912,0.190568291324144,0.153546854843769,"sim","classical","norm",NA,1000,1000,314
0.451753951452626,0.553283335172488,0.442718872423573,0.542217668469038,0.3,0.3,0.5,0.6,0.7,0,0,0,1,0.2,0.3,0.5,0.4,0.135526185435788,"D1_FixRho",0.435720932222594,0.0327850195440977,1,0.393642951981949,0.0377937418091917,1,0.0841558293731318,0.0378317468802448,0.618,0.496044852950445,0.0392259898133065,1,-0.109116543237284,0.0392454886242026,0.806,0.455110672715641,0.0407081208547639,1,0.142043303244144,0.040398261247108,0.931,-0.163444132402937,0.0419651508929966,0.973,0.0325024145830918,0.0379434919233985,0.0384351236101252,0.0389139693688728,0.0389861993301457,0.0405105341965199,0.0423119037717837,0.0426755679887521,0.135720932222594,0.0936429519819493,0.196044852950445,0.155110672715641,"sim","classical","norm",NA,1000,1000,314
0.479157423749955,0.529728463363976,0.469574275274956,0.519133894096696,0.3,0.3,0.5,0.55,0.7,0,0,0,1,0.225,0.275,0.5,0.45,0.143747227124986,"D1_FixRho",0.44234613332574,0.0327597573296233,1,0.396730869948675,0.0377389236823727,1,0.0911306812470393,0.0377236839113773,0.67,0.498872035820212,0.0385042475643822,1,-0.106627729876737,0.0385132057424413,0.798,0.453564650931363,0.0402566166104497,1,0.144830330806584,0.0399436544539782,0.957,-0.157946636118703,0.0408161852118816,0.979,0.0317990672565664,0.036234812732568,0.0373752608812711,0.036579128620245,0.0368377333963148,0.0383029822187206,0.0392342911307104,0.0390411733540761,0.14234613332574,0.0967308699486754,0.198872035820212,0.153564650931363,"sim","classical","norm",NA,1000,1000,314
0.505076272276105,0.505076272276105,0.494974746830583,0.494974746830583,0.3,0.3,0.5,0.5,0.7,0,0,0,1,0.25,0.25,0.5,0.5,0.151522881682832,"D1_FixRho",0.45158768857738,0.0326494914688999,1,0.403779428884872,0.0375844873226985,1,0.0959045315354379,0.0376742939641883,0.732,0.503047023229911,0.0377027903951372,1,-0.102036551770822,0.037751799104342,0.767,0.454854467314328,0.0397419429513675,1,0.144131450029812,0.039568297143098,0.947,-0.148918417545864,0.0396644486699572,0.969,0.0332224552899056,0.037198683510445,0.038014582013094,0.0376380667890371,0.0363775204690175,0.0394000183749148,0.0398013368053361,0.0382587020608423,0.15158768857738,0.103779428884872,0.203047023229911,0.154854467314328,"sim","classical","norm",NA,1000,1000,314
