"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.4,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.933333333333333,0.324438859393528,0,0,0,1,0.42,0.28,0.7,0.6,0.135,0.4,0.435116264559347,0.0327366456822182,1,0.181400983642625,0.04443735477757,0.981,0.362343937409707,0.04444795415525,1,0.828666541380171,0.0632775116239109,1,-0.455915640469323,0.0632856865127632,1,0.365130761246582,0.131621614033584,0.786,0.281656644719553,0.0702709131573543,0.975,-0.147351881270897,0.0993654724023945,0.322,0.0333648844295411,0.0453181727381409,0.0441341497800978,0.0637889910350299,0.0634043608415581,0.136590137120776,0.0714840281163673,0.102515916966106,0.135116264559347,-0.118599016357375,0.528666541380171,0.0651307612465823,"sim","classical","norm",NA,1000,1000,314
0.45,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.855555555555556,0.364993716817719,0,0,0,1,0.385,0.315,0.7,0.55,0.135,0.45,0.43574586378149,0.0327489565017326,1,0.21262136750321,0.0447766234935298,0.998,0.318623477464518,0.0447778257744621,1,0.830463886818414,0.0632265715526302,1,-0.457391187106059,0.0632400706052058,1,0.550220126209245,0.109624986499103,0.999,0.185797825622724,0.059492132506441,0.88,-0.283346778250448,0.0840849554358027,0.921,0.0342200559872444,0.0463747130410303,0.0459958281366564,0.064127081946606,0.0633316969775083,0.107889250107055,0.0598108311308134,0.0822774973299701,0.13574586378149,-0.0873786324967901,0.530463886818414,0.250220126209245,"sim","classical","norm",NA,1000,1000,314
0.5,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.777777777777778,0.40554857424191,0,0,0,1,0.35,0.35,0.7,0.5,0.135,0.5,0.436143376942723,0.0327832532525731,1,0.244292813571269,0.0451076357165221,1,0.274320465560109,0.0451431188678646,1,0.831673075316135,0.063394139448363,1,-0.458000632095939,0.0633881988096285,1,0.642668152273164,0.0969362142878044,1,0.137749052389235,0.053542789848081,0.746,-0.350709088672698,0.0757402033671775,1,0.0338738995220725,0.0452711227701747,0.0435912246414358,0.0634205692016984,0.063277941495046,0.0941573697706135,0.0513583689295813,0.0747311291553508,0.136143376942723,-0.0557071864287307,0.531673075316135,0.342668152273164,"sim","classical","norm",NA,1000,1000,314
0.55,0.3,"D2_highRho_unequalA2",0.7,0.35,0.90674969975976,0.3,0.9,0.424593468409203,0,0,0,1,0.315,0.385,0.7,0.45,0.105,0.55,0.404690509004442,0.0329233420394739,1,0.135880739847531,0.0444239247956089,0.859,0.384214140823003,0.0443814435239173,1,0.889078070475472,0.0760625887331394,1,-0.534255631772407,0.0760257346882735,1,0.322437170075597,0.133058681467878,0.683,0.319873023070607,0.0619923836441501,1,-0.15609994088416,0.104920307259872,0.308,0.0323579031586071,0.043508568319111,0.0428125127025532,0.0747883620070162,0.0758209805926593,0.131171991476282,0.0600378322578605,0.10458181231716,0.104690509004442,-0.164119260152469,0.589078070475472,0.0224371700755965,"sim","classical","norm",NA,1000,1000,314
0.55,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.7,0.446103431666101,0,0,0,1,0.315,0.385,0.7,0.45,0.135,0.55,0.433433297256325,0.0327398903514151,1,0.274525721847822,0.0453058628169246,1,0.227331080804531,0.0453664950207897,0.997,0.82818979441164,0.0633387191906532,1,-0.456890604240599,0.0633154065836473,1,0.697119364108988,0.0880736867321035,1,0.106243404011781,0.0497074831438625,0.558,-0.391122593329688,0.0702828035718253,1,0.0332612228662118,0.0465586239047128,0.0464258749738819,0.0627704891141397,0.0638582561060438,0.0893507114419529,0.0509702486747047,0.0716582159137621,0.133433297256325,-0.0254742781521778,0.52818979441164,0.397119364108988,"sim","classical","norm",NA,1000,1000,314
0.55,0.3,"D2_highRho_unequalA2",0.8,0.45,0.863028554974588,0.3,0.8,0.509832493332687,0,0,0,1,0.36,0.44,0.8,0.45,0.135,0.55,0.434453335920875,0.0328102710548343,1,0.140012264023163,0.0533994921961159,0.734,0.368455881110295,0.0534350670419938,1,0.831462334112956,0.0632892546559656,1,-0.459934513372243,0.0632604521239492,1,0.530947525794746,0.112374444773124,0.999,0.213286243771802,0.0660364597269784,0.905,-0.309222375350166,0.0783777767423237,0.975,0.0333073577677065,0.0537810501272219,0.0527234308319738,0.0637831074130016,0.0631932548747394,0.11386339708532,0.0659019939087199,0.0788060925371208,0.134453335920875,-0.159987735976837,0.531462334112956,0.230947525794746,"sim","classical","norm",NA,1000,1000,314
0.6,0.3,"D2_highRho_unequalA2",0.7,0.35,0.90674969975976,0.3,0.8,0.463192874628222,0,0,0,1,0.28,0.42,0.7,0.4,0.105,0.6,0.405804784599554,0.032900960789711,1,0.177260665737598,0.044941129859754,0.974,0.326199200203648,0.0449180274865731,1,0.890749586064825,0.0762045063325374,1,-0.534883782255098,0.0762156514313955,1,0.549640302558661,0.1142374539119,0.999,0.216556356043068,0.0543345159112811,0.978,-0.326005192710344,0.0920450994038308,0.941,0.0337808634328116,0.0448332086693334,0.0443611732894411,0.0790299109172237,0.0780063682300328,0.116448214347696,0.053589145656207,0.0940614939856433,0.105804784599554,-0.122739334262402,0.590749586064825,0.249640302558661,"sim","classical","norm",NA,1000,1000,314
0.6,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.622222222222222,0.486658289090292,0,0,0,1,0.28,0.42,0.7,0.4,0.135,0.6,0.436497444712425,0.0327032237010589,1,0.309809186768984,0.0454903243766689,1,0.180778128068117,0.04548733068246,0.981,0.829096696406981,0.0631519307264056,1,-0.45472177302098,0.0631350841208848,1,0.736122915246238,0.0817129338362774,1,0.0845334900236609,0.047246501698109,0.436,-0.415647718893474,0.0667333109442477,1,0.0317223059119212,0.0443738360756234,0.0453294629009603,0.0628586260068128,0.0623416586788529,0.0825174382516067,0.0474130939130676,0.0665617537310138,0.136497444712425,0.00980918676898429,0.529096696406981,0.436122915246238,"sim","classical","norm",NA,1000,1000,314
0.6,0.3,"D2_highRho_unequalA2",0.8,0.45,0.863028554974588,0.3,0.711111111111111,0.556180901817477,0,0,0,1,0.32,0.48,0.8,0.4,0.135,0.6,0.433517593904835,0.0327638899757652,1,0.199278874776691,0.0538295403222012,0.963,0.292718039049462,0.053806190454475,0.998,0.827839817175,0.0632530630171348,1,-0.457001486838188,0.0632644565709146,1,0.637214930204568,0.097526997484359,1,0.151870894922958,0.0592372719967041,0.731,-0.376938698775818,0.0704116629566007,1,0.032674571216909,0.0529073081346686,0.0545024002066765,0.0636254893783417,0.064376313089681,0.0949721963640467,0.059753126362768,0.0705219580992394,0.133517593904835,-0.100721125223309,0.527839817175,0.337214930204568,"sim","classical","norm",NA,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.7,0.35,0.90674969975976,0.3,0.7,0.50179228084724,0,0,0,1,0.245,0.455,0.7,0.35,0.105,0.65,0.405518874600752,0.0328213761135912,1,0.21818538930974,0.0451774654850849,0.998,0.26788829300615,0.0452059737313893,1,0.891189910827465,0.0761022191060869,1,-0.535656245538689,0.0761247488289195,1,0.671234148598324,0.102162108655781,1,0.159720906207786,0.049783434095643,0.891,-0.416238838690301,0.0844128855574583,0.999,0.0327459889805538,0.0457618187182545,0.0457790800067274,0.0750917603172632,0.075059999442393,0.101400134769067,0.0501511609680818,0.0830787996300543,0.105518874600752,-0.0818146106902602,0.591189910827465,0.371234148598324,"sim","classical","norm",NA,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.544444444444444,0.527213146514483,0,0,0,1,0.245,0.455,0.7,0.35,0.135,0.65,0.433884491160422,0.0327798418602676,1,0.339997886671443,0.0456981167643528,1,0.134258858382402,0.0457083466388514,0.832,0.828320678767575,0.0632632214207329,1,-0.457062161551617,0.0632583038596497,1,0.762892495716935,0.0770017005638923,1,0.0682083584053334,0.0457796236050537,0.316,-0.436517861065789,0.0647149228206066,1,0.0332867825798479,0.0481066576425132,0.0465605987050786,0.063302555445291,0.0646184343425564,0.077776452094986,0.0464829874387365,0.065653234830712,0.133884491160422,0.0399978866714426,0.528320678767574,0.462892495716935,"sim","classical","norm",NA,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.8,0.35,0.90674969975976,0.3,0.8,0.573476892396846,0,0,0,1,0.28,0.52,0.8,0.35,0.105,0.65,0.404118666893716,0.0329237391725337,1,0.0551608911649804,0.0532327461967047,0.187,0.435485320938581,0.05319914058846,1,0.892052742471505,0.0762051774292734,1,-0.538267680978073,0.0762159700266906,1,0.380052638033992,0.128548413480755,0.827,0.325482493619112,0.0662170047606661,1,-0.261157691327465,0.0940992109033621,0.778,0.0333467072640056,0.0534013681876455,0.0534922290931566,0.07682886632203,0.0768529839477185,0.132397939501092,0.0674280661744184,0.096640426113892,0.104118666893716,-0.24483910883502,0.592052742471505,0.0800526380339924,"sim","classical","norm",NA,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.8,0.45,0.863028554974588,0.3,0.622222222222222,0.602529310302267,0,0,0,1,0.28,0.52,0.8,0.35,0.135,0.65,0.435475700612562,0.0327414419455346,1,0.2603527535953,0.0541890585371849,0.998,0.218864537469233,0.0541977411388488,0.975,0.830361372604057,0.0632488623868837,1,-0.457350440597284,0.0632330655368012,1,0.701923882519889,0.0877869109518376,1,0.116925734856406,0.0555615681939125,0.551,-0.416940076774242,0.0659662583906654,1,0.0334897248812334,0.0553300733754087,0.0551583155638059,0.0659200080994722,0.0654650448966239,0.0886171214798254,0.0554181885390943,0.0676114769952202,0.135475700612562,-0.0396472464047001,0.530361372604057,0.401923882519889,"sim","classical","norm",NA,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.9,0.45,0.863028554974588,0.3,0.7,0.67784547409005,0,0,0,1,0.315,0.585,0.9,0.35,0.135,0.65,0.434611176613358,0.0327686533216178,1,0.012799256851875,0.0737835426162798,0.055,0.468382974969473,0.0737609745391494,1,0.829023872831168,0.0632617527298535,1,-0.456830059748823,0.0632260820910231,1,0.472549784181929,0.118725068503725,0.98,0.288784235905349,0.0815868407586545,0.933,-0.345163218262801,0.0703327596153121,0.999,0.0336629242141849,0.0748282322907487,0.0735856395160815,0.0618734983495891,0.0620198320201737,0.117801902242985,0.0814046740828705,0.0688726720666669,0.134611176613358,-0.287200743148125,0.529023872831168,0.172549784181929,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.7,0.25,0.938245836551854,0.3,0.84,0.522251185042076,0,0,0,1,0.21,0.49,0.7,0.3,0.075,0.7,0.375017437848489,0.0330241967444308,1,0.100007822499763,0.0445292774549966,0.604,0.392748182542645,0.0444842820678017,1,0.932651795417613,0.0935678405807537,1,-0.594129658393367,0.0935270113204957,1,0.343376379141533,0.130677979336746,0.746,0.335577070402785,0.0529648453611149,1,-0.216635888733926,0.109398163482612,0.502,0.0322819152779089,0.0448624660271196,0.0443280065384048,0.0949180724956819,0.095625974383156,0.134269450012064,0.053443779002468,0.112611285048871,0.0750174378484889,-0.199992177500237,0.632651795417613,0.0433763791415333,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.7,0.35,0.90674969975976,0.3,0.6,0.540391687066259,0,0,0,1,0.21,0.49,0.7,0.3,0.105,0.7,0.404858471619952,0.0328659976325005,1,0.258035282518213,0.0456125229243513,1,0.209411308114292,0.0456107387224075,0.995,0.893595012768654,0.0761897224605716,1,-0.538877001729212,0.076197949821055,1,0.749356083827923,0.0941957599353776,1,0.122156647205665,0.0472006791074681,0.721,-0.474303997954191,0.0799666344434198,1,0.0320072503105046,0.0453458101848781,0.0463301538723263,0.0758797891498743,0.0762314612441389,0.0929774952679159,0.047270945939842,0.0795127279197337,0.104858471619952,-0.0419647174817871,0.593595012768654,0.449356083827923,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.466666666666667,0.567768003938674,0,0,0,1,0.21,0.49,0.7,0.3,0.135,0.7,0.436162454116716,0.0327433864668467,1,0.372261398955849,0.0457929211001883,1,0.0912916982049964,0.0457746872681411,0.498,0.829358420383541,0.0631732318268219,1,-0.455871970549777,0.0631952722048544,1,0.780403959786032,0.0731530361505633,1,0.0596776061661224,0.0449188840103478,0.259,-0.447521570666347,0.0634866770330803,1,0.0321236703196702,0.0450373261872618,0.0462096461265727,0.0645961485922159,0.0652333878971349,0.0744963808504196,0.0459224280741831,0.0656367498874247,0.136162454116716,0.0722613989558491,0.529358420383542,0.480403959786032,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.8,0.35,0.90674969975976,0.3,0.685714285714286,0.617590499504296,0,0,0,1,0.24,0.56,0.8,0.3,0.105,0.7,0.403218103895808,0.0327799520001639,1,0.133862928750696,0.0536962532910332,0.701,0.336749247222846,0.0537452122362179,1,0.89104252641505,0.0760113667491641,1,-0.538102087720084,0.0760538244553521,1,0.601648897383073,0.109429531745195,1,0.214709195477529,0.0587118931985432,0.956,-0.408323792780297,0.0835189631598085,0.999,0.0336598216665327,0.0556023424948301,0.0526940652533183,0.076683442556641,0.0789226952821939,0.10814276871662,0.0565449518526687,0.0850173208643305,0.103218103895808,-0.166137071249304,0.59104252641505,0.301648897383073,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.8,0.45,0.863028554974588,0.3,0.533333333333333,0.648877718787056,0,0,0,1,0.24,0.56,0.8,0.3,0.135,0.7,0.432558820471676,0.0327918589001301,1,0.315341795042893,0.0545396170850877,1,0.146384059000681,0.0545311366794224,0.774,0.827500364548407,0.0632924712773601,1,-0.457504081143854,0.063277980001211,1,0.737871634750773,0.0809925528377581,1,0.0953186336656734,0.0537997803697372,0.427,-0.442115650262284,0.0638132804582014,1,0.0327037679368308,0.0547428567764232,0.0547396447234186,0.0618507702989478,0.0600386533622284,0.0795615983825868,0.0545013800284452,0.060622979973912,0.132558820471676,0.0153417950428933,0.527500364548407,0.437871634750773,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.9,0.45,0.863028554974588,0.3,0.6,0.729987433635438,0,0,0,1,0.27,0.63,0.9,0.3,0.135,0.7,0.436408396100159,0.0327968614764764,1,0.156620617954604,0.0746778865838618,0.552,0.310716308770764,0.0746630673327774,0.981,0.833898544059927,0.0634213376050054,1,-0.460428140730133,0.0634425785733797,1,0.614147899543967,0.101290533869387,1,0.207742194338075,0.0748324020313218,0.792,-0.422574508596478,0.0646830105137806,1,0.0327676568816585,0.0743033677379226,0.0762697071714178,0.0632644774071594,0.0622697065928065,0.100969502563882,0.077012899865943,0.0638177871583342,0.136408396100159,-0.143379382045396,0.533898544059928,0.314147899543967,"sim","classical","norm",NA,1000,1000,314
