"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0,0.3,"D2",0.5,0.6,0.6,0.3,0.833333333333333,0,0,0,0,1,0.5,0,0.5,1,0.18,0,0.485190982810006,0.0325743849348099,1,0.375203665633242,0.0369547754409182,1,0.222402055703682,0.0372133652922906,1,0.581484450135162,0.0404140004349339,1,-0.160951692780849,0.0405162984564288,1,0.43084366119359,0.051221619473953,1,0.194598535342508,0.0412739033542413,1,-0.0697442821846573,0.0444956214541011,0.4,0.0242228802994041,0.0351164563619144,0.0388785321449131,0.0363875639278752,0.0249760686070287,0.0619693397641037,0.048643285421451,0.038541951097223,0.185190982810006,0.0752036656332424,0.281484450135162,0.13084366119359,"sim","classical","norm",NA,1000,10,314
0.05,0.3,"D2",0.5,0.6,0.6,0.3,0.791666666666667,0.0416666666666667,0,0,0,1,0.475,0.025,0.5,0.95,0.18,0.05,0.493540059249012,0.0324548096448564,1,0.382211891177628,0.0370550916930736,1,0.21840002069049,0.036885422120702,1,0.598995930341508,0.040299401302549,1,-0.176973878145565,0.0405829642250601,1,0.462131854027632,0.0496583033794531,1,0.183301871213185,0.0395303759887154,1,-0.104716098827552,0.0431471838464741,0.8,0.0363471936345069,0.0391577549171772,0.0392887300242373,0.0403685186741512,0.0284970000121759,0.0494309672549897,0.0440348324561352,0.0328594921746918,0.193540059249012,0.0822118911776276,0.298995930341508,0.162131854027632,"sim","classical","norm",NA,1000,10,314
0.1,0.3,"D2",0.5,0.6,0.6,0.3,0.75,0.0833333333333333,0,0,0,1,0.45,0.05,0.5,0.9,0.18,0.1,0.472672998665126,0.0321183355473368,1,0.382882973559712,0.0368108708615138,1,0.179396330034101,0.0371581635897215,1,0.55877250142813,0.0398993389670885,1,-0.143908634402792,0.0400136367080995,1,0.452471065889943,0.0481415193096026,1,0.151970505888521,0.0390289043166077,1,-0.0933453751078267,0.0418192642992887,0.8,0.029117246198769,0.025933968369553,0.0271146687597745,0.0385742885525587,0.0333260494846962,0.0377565703724759,0.0296069817176914,0.0357406574019859,0.172672998665126,0.0828829735597122,0.25877250142813,0.152471065889943,"sim","classical","norm",NA,1000,10,314
0.15,0.3,"D2",0.5,0.6,0.6,0.3,0.708333333333333,0.125,0,0,0,1,0.425,0.075,0.5,0.85,0.18,0.15,0.493481845509162,0.0324075665227264,1,0.409925037849934,0.0372184708894697,1,0.165844660802747,0.0373964490366437,1,0.59210752889634,0.0404486559091243,1,-0.163149106103871,0.0406259490456169,1,0.501173223683429,0.047622173512282,1,0.136704497436419,0.0384338029755461,0.9,-0.127001733540095,0.0416784200176125,0.9,0.0339199097362463,0.0451813908287913,0.0291445940116443,0.0423148291555281,0.0228307260923105,0.0582911014016318,0.0329867583601933,0.0251667513461072,0.193481845509162,0.109925037849934,0.29210752889634,0.201173223683429,"sim","classical","norm",NA,1000,10,314
0.2,0.3,"D2",0.5,0.6,0.6,0.3,0.666666666666667,0.166666666666667,0,0,0,1,0.4,0.1,0.5,0.8,0.18,0.2,0.481250938362248,0.0321031836963959,1,0.399634135552034,0.037053731642599,1,0.159001622956085,0.0370435547696283,1,0.568295792988723,0.0396409062897392,1,-0.148029676711152,0.0398237158377844,1,0.48071955076556,0.0461128800073549,1,0.136869855370321,0.037634154862425,1,-0.119156756631478,0.0403645128891119,0.8,0.0391703358265112,0.0362184542186651,0.038253184801698,0.0487657109344422,0.0430330348785571,0.0513529131272008,0.0409939813076266,0.0455981961440121,0.181250938362248,0.099634135552034,0.268295792988723,0.18071955076556,"sim","classical","norm",NA,1000,10,314
0.25,0.3,"D2",0.5,0.6,0.6,0.3,0.625,0.208333333333333,0,0,0,1,0.375,0.125,0.5,0.75,0.18,0.25,0.468052685702688,0.0327568830333552,1,0.40291430394897,0.0376016758060736,1,0.13101666398956,0.0377425683097706,1,0.571128245726905,0.040939391183544,1,-0.170271441456104,0.0410898117679613,1,0.505013537427007,0.0463120590024885,1,0.113887167346391,0.0378211731803093,1,-0.15458396739667,0.0412836135577692,1,0.0276613105137477,0.0306318654199491,0.02351908457046,0.0185263474483179,0.0401603364066151,0.0209389776505248,0.020505826500507,0.0412828361612223,0.168052685702688,0.10291430394897,0.271128245726905,0.205013537427008,"sim","classical","norm",NA,1000,10,314
0.3,0.3,"D2",0.5,0.6,0.6,0.3,0.583333333333333,0.25,0,0,0,1,0.35,0.15,0.5,0.7,0.18,0.3,0.48306070609871,0.0330227301860489,1,0.428523298039458,0.0378185478082042,1,0.112409056709335,0.0382754325519472,0.9,0.575941605647122,0.0411493943870689,1,-0.15280143149487,0.0409161913230926,0.8,0.521411189505391,0.045783515557512,1,0.102691351707958,0.0381419563779045,0.8,-0.145030788418697,0.0409039786783644,0.8,0.0243120780435174,0.0258558644087915,0.0234991752574053,0.0423106868616106,0.0465664487219984,0.0466721237188062,0.0235702843767099,0.0466375643852057,0.18306070609871,0.128523298039458,0.275941605647122,0.221411189505391,"sim","classical","norm",NA,1000,10,314
0.35,0.3,"D2",0.5,0.6,0.6,0.3,0.541666666666667,0.291666666666667,0,0,0,1,0.325,0.175,0.5,0.65,0.18,0.35,0.480578086285833,0.0319157282987391,1,0.440618567361062,0.0367929225126769,1,0.0808318797777944,0.0373296055999265,0.6,0.601703683658363,0.0396431947759827,1,-0.201178458770522,0.039939139211645,1,0.562417118748103,0.0436196546777757,1,0.0794008532575484,0.0368787538148123,0.6,-0.201187918426833,0.0398674958856446,1,0.0283022178721892,0.0266312706383911,0.0318677001875357,0.0402232903138858,0.0368656969751817,0.0396273389182862,0.0348387270337791,0.0364388134809838,0.180578086285833,0.140618567361062,0.301703683658363,0.262417118748103,"sim","classical","norm",NA,1000,10,314
0.4,0.3,"D2",0.5,0.6,0.6,0.3,0.5,0.333333333333333,0,0,0,1,0.3,0.2,0.5,0.6,0.18,0.4,0.491564373453913,0.0326026932528034,1,0.449262345710101,0.037475255323422,1,0.0858057165991452,0.0377568051312075,0.6,0.588295389790386,0.0405041413876384,1,-0.160759188430917,0.04056777416046,0.9,0.545402137364514,0.0440296470222136,1,0.0919299807982333,0.037484648270148,0.6,-0.164697984446886,0.0404915566821202,0.9,0.0255801812718807,0.0345901531050507,0.0373405903561902,0.0278245229954157,0.0519993805861816,0.0345830220958068,0.0371652479668244,0.0525605953967813,0.191564373453913,0.149262345710101,0.288295389790386,0.245402137364514,"sim","classical","norm",NA,1000,10,314
0.45,0.3,"D2",0.5,0.6,0.6,0.3,0.458333333333333,0.375,0,0,0,1,0.275,0.225,0.5,0.55,0.18,0.45,0.471314172480792,0.0327767968705068,1,0.432745880608466,0.0377722043694579,1,0.076097162264819,0.0369400443875088,0.7,0.570457934534686,0.0403194971831907,1,-0.167991118515919,0.0404726426804715,1,0.529913074216378,0.0433112112400822,1,0.0949108112267109,0.0368342210556364,0.7,-0.180638176958649,0.0406127054281335,1,0.0341435632430023,0.0320232065916778,0.0338874223547644,0.0421663123971572,0.0342385055580784,0.0342392328086902,0.0383198143880237,0.0378355086100062,0.171314172480792,0.132745880608466,0.270457934534686,0.229913074216378,"sim","classical","norm",NA,1000,10,314
