"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.5,0,0,0,0,1,0.2,0,0.2,1,0.12,0,0.421506873710742,0.0328904121029602,1,0.395111708433615,0.0333245069300556,1,0.131881016705415,0.0332676467928859,0.973,0.444873523781218,0.0358377834699062,1,-0.0585959772142541,0.0358153889023092,0.363,0.414412794590466,0.036470458643639,1,0.128025324230801,0.0333872017924331,0.968,-0.0465004751718262,0.0357120037461323,0.241,0.0333438007133015,0.0336585448006377,0.0334835139617438,0.0369181134203118,0.0359706498283837,0.0373088926038372,0.0335123354798717,0.0357327430521433,0.121506873710742,0.0951117084336148,0.144873523781218,0.114412794590466,"sim","classical","norm",NA,1000,1000,314
0,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.333333333333333,0,0,0,0,1,0.2,0,0.2,1,0.18,0,0.480364648489719,0.0325045850308384,1,0.46703980350327,0.0331307467950152,1,0.0663170660141564,0.0331777532126279,0.499,0.582467686489371,0.0402800095797128,1,-0.170427744680575,0.0403280484719855,0.981,0.56805011334695,0.0415929583457575,1,0.0459785501987776,0.0333326189155076,0.286,-0.161793643020808,0.0407940759386929,0.972,0.0326187044269999,0.0331281416187745,0.0339732997445157,0.0403577064550312,0.0399730957758235,0.0415637796614362,0.0342158954130336,0.0404773766871278,0.180364648489719,0.16703980350327,0.282467686489371,0.26805011334695,"sim","classical","norm",NA,1000,1000,314
0,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.666666666666667,0,0,0,0,1,0.4,0,0.4,1,0.18,0,0.478044425182548,0.0325774251398105,1,0.41633475133276,0.035239138538614,1,0.154018396000012,0.0352491556862703,0.99,0.58020447137565,0.0403656143619261,1,-0.170362957651144,0.0403550323548227,0.993,0.506561613913025,0.0464127781248761,1,0.117894370250325,0.0371578495726178,0.884,-0.126332503538764,0.0425120967680206,0.869,0.0321605228620048,0.0350103004630634,0.0355681025106393,0.0391980443522188,0.0382896745860221,0.0453868858642007,0.0377444071003204,0.0406764115692426,0.178044425182548,0.11633475133276,0.28020447137565,0.206561613913025,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.475,0.025,0,0,0,1,0.19,0.01,0.2,0.95,0.12,0.05,0.418135596849425,0.0328800952071185,1,0.393055885873233,0.0333390603524525,1,0.125144760077176,0.0332998798362095,0.961,0.440677553232829,0.0358473045752618,1,-0.0562867468956424,0.0358194916240668,0.356,0.412952267877857,0.0364142910823327,1,0.122431234869403,0.0333475979249484,0.958,-0.0483238598236396,0.035663794276258,0.267,0.0319687416049756,0.0329446006985976,0.0334536669307418,0.0351085534186097,0.0363862241149332,0.036129942163996,0.0334082426706095,0.0362482329643105,0.118135596849425,0.0930558858732332,0.140677553232829,0.112952267877857,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.316666666666667,0.0166666666666667,0,0,0,1,0.19,0.01,0.2,0.95,0.18,0.05,0.477653957866254,0.0325153576418011,1,0.465320439172662,0.033156236818325,1,0.0611333156872583,0.0331890628295592,0.45,0.579084075558643,0.0403220335469726,1,-0.169013690323425,0.0403547665974892,0.988,0.56606516032507,0.0415143968546185,1,0.0435052120452429,0.0332408129315851,0.26,-0.16195672589269,0.0407007918540365,0.978,0.0319454338813042,0.0327934395880914,0.0343952989500136,0.0401105303857095,0.0400478165432282,0.0414892562166409,0.0346473489098454,0.0404265119470869,0.177653957866254,0.165320439172662,0.279084075558644,0.26606516032507,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.95,0.05,0,0,0,1,0.38,0.02,0.4,0.95,0.12,0.05,0.420267197774071,0.0328284260084304,1,0.307157865889505,0.0346849168712237,1,0.283316185855649,0.0347080131117118,1,0.443477287019209,0.035795695210163,1,-0.0578793124278306,0.0357828163703678,0.376,0.317003611470142,0.0381287991508928,1,0.280532398840165,0.0350098997501656,1,-0.021732605706714,0.034989294565992,0.091,0.0324133420630276,0.0348786114095879,0.0361722703462091,0.0356389963599199,0.0356971416464789,0.0387357073645113,0.0365503589323726,0.0351501773792903,0.120267197774071,0.0071578658895054,0.143477287019209,0.0170036114701418,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.633333333333333,0.0333333333333333,0,0,0,1,0.38,0.02,0.4,0.95,0.18,0.05,0.481060692576728,0.032569989157749,1,0.424510876965092,0.0353061243587242,1,0.140581371394706,0.035253049306145,0.976,0.582250783437383,0.0403585763755945,1,-0.168811879719521,0.0403450879372868,0.984,0.518128508294465,0.0457656332193382,1,0.107368114480422,0.0365979300498548,0.834,-0.133892592580747,0.0419175707022785,0.893,0.0319457525298676,0.0349166060906628,0.0350993331958756,0.0391282424073655,0.0400653866175143,0.0448969778328284,0.0365213245945149,0.0418264568360459,0.181060692576728,0.124510876965092,0.282250783437383,0.218128508294465,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.6,0.6,0.6,0.3,0.95,0.05,0,0,0,1,0.57,0.03,0.6,0.95,0.18,0.05,0.479635545910206,0.0325604224539753,1,0.314934716618039,0.0397594534722865,1,0.274919721857578,0.0397859392467544,1,0.580073789943779,0.0403637032276747,1,-0.167436125262922,0.0403609089253558,0.982,0.354865553950707,0.0567202654834202,1,0.253161964328416,0.0454714358469195,1,-0.0448697069225556,0.0454505108018511,0.174,0.0324179910867564,0.0406553392179377,0.0417642101172265,0.0407063841695172,0.0424407660374028,0.0580473587114529,0.0472096226953238,0.0469774133687938,0.179635545910206,0.0149347166180386,0.280073789943779,0.0548655539507066,"sim","classical","norm",NA,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.45,0.05,0,0,0,1,0.18,0.02,0.2,0.9,0.12,0.1,0.420447988732572,0.0327949880162898,1,0.397442143014742,0.0332831434032687,1,0.115492448248036,0.0332640888674319,0.929,0.443137050929913,0.0357498332499159,1,-0.056867172473637,0.0357596376012561,0.344,0.418835967002008,0.0362611688911723,1,0.113954938091523,0.0332637817198195,0.92,-0.0528574288402564,0.0355877185976494,0.304,0.0326825389569959,0.0330388040673306,0.0341889292995719,0.0358714928787364,0.0343557363296456,0.0362939775153131,0.0341379020390638,0.0344557008685473,0.120447988732572,0.0974421430147424,0.143137050929913,0.118835967002008,"sim","classical","norm",NA,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.3,0.0333333333333333,0,0,0,1,0.18,0.02,0.2,0.9,0.18,0.1,0.478995064044997,0.0325458150098017,1,0.467877843528506,0.0331872696526933,1,0.055754237685002,0.0332371378342355,0.396,0.58198942523541,0.0403284465504225,1,-0.171704950898094,0.0403350135707593,0.989,0.570551236506232,0.0413764861688272,1,0.0408096689032708,0.0331787731636063,0.246,-0.166200790993433,0.0405705494353924,0.985,0.0329743642803075,0.0336817830402342,0.0333593600593279,0.0397672048151954,0.0399362210378511,0.0409333253160018,0.0332289255129836,0.0401559978336499,0.178995064044997,0.167877843528506,0.28198942523541,0.270551236506232,"sim","classical","norm",NA,1000,1000,314
