"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.5,0,0,0,0,1,0.2,0,0.2,1,0.12,0,0.421675158617572,0.034381296463512,0.999,0.393411573256106,0.0341505964700694,0.999,0.137050074544522,0.0357628722570696,0.949,0.446396110177372,0.0388170131559359,0.999,-0.059178649517298,0.0358354044975435,0.395,0.413487489155201,0.0383588403395296,0.999,0.132943849078462,0.0357883973232769,0.943,-0.0459869456154298,0.0355366257620543,0.272,0.0367129591274885,0.03609809483058,0.0384879488015585,0.0408404737045624,0.0357241067544698,0.0396306448021899,0.038362687441458,0.0354211012748041,0.121675158617572,0.0934115732561065,0.146396110177372,0.113487489155201,"sim","HC1","t",3,1000,1000,314
0,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.333333333333333,0,0,0,0,1,0.2,0,0.2,1,0.18,0,0.479018937977948,0.0332273278084486,1,0.464882271709871,0.0337279118092194,1,0.0695542632197533,0.0341060238179174,0.572,0.583723895505621,0.0441696134679979,1,-0.172016469199981,0.0412302646870763,0.969,0.568677851345176,0.0453739476383266,1,0.0476141331920159,0.0338991105991205,0.307,-0.163061193504025,0.0417219747436659,0.954,0.0346337097508284,0.0348474259798709,0.0340589595343966,0.047403754397553,0.0422388536254807,0.0484104360888647,0.0337841498906007,0.0427777039764927,0.179018937977948,0.164882271709871,0.283723895505621,0.268677851345176,"sim","HC1","t",3,1000,1000,314
0,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.666666666666667,0,0,0,0,1,0.4,0,0.4,1,0.18,0,0.480933306422097,0.0331120211686534,1,0.417952380759423,0.0356448298500251,1,0.156989349836876,0.0377062372917364,0.969,0.584763587238453,0.044259693632838,1,-0.170842953322271,0.0413377143025179,0.97,0.509434409953276,0.0499960878985911,0.998,0.119446699924415,0.0393091952641665,0.844,-0.125414184473025,0.0436156960597085,0.796,0.0339315152199468,0.0372094538260346,0.0409837630804558,0.0465707896736813,0.0422746365800267,0.054595360255831,0.0429499492370982,0.0459473538373459,0.180933306422097,0.117952380759423,0.284763587238453,0.209434409953276,"sim","HC1","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.95,0.05,0,0,0,1,0.19,0.01,0.2,0.95,0.06,0.05,0.364977662514573,0.0332709511934224,1,0.304819383918454,0.0316725742721553,0.999,0.28386766870921,0.0325526746116785,0.998,0.368164246456818,0.0342103284724029,1,-0.0149431809620562,0.0330406229107237,0.064,0.308422596582397,0.0324060476636406,0.999,0.284034357261403,0.0325681821169957,0.998,-0.0174651254373085,0.0317403270079619,0.081,0.0355439850711316,0.03344608840078,0.0345418007929172,0.0368122644023793,0.0324963366301846,0.0343524256829716,0.0345367937440297,0.0312518905734823,0.0649776625145725,0.00481938391845399,0.0681642464568176,0.00842259658239736,"sim","HC1","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.475,0.025,0,0,0,1,0.19,0.01,0.2,0.95,0.12,0.05,0.42360794599341,0.0345925943014848,0.999,0.396965716069399,0.034408615997664,0.999,0.130390137466346,0.0355778361021862,0.942,0.447946711189,0.038939515493219,0.999,-0.0572357047230449,0.0357241141746941,0.384,0.418302878441192,0.0384869896487923,0.999,0.127286196032097,0.0355466818532558,0.935,-0.048569156929553,0.035378612484537,0.282,0.037644513272902,0.0373987162141149,0.0372499386624968,0.0434434580864221,0.0371219067575458,0.0427344863653215,0.0371609765718103,0.0366920265314116,0.12360794599341,0.0969657160693986,0.147946711189,0.118302878441192,"sim","HC1","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.316666666666667,0.0166666666666667,0,0,0,1,0.19,0.01,0.2,0.95,0.18,0.05,0.483518814359951,0.0332093841002664,1,0.470488791136317,0.0337374345315134,1,0.0650347802151901,0.0339990877447395,0.504,0.587391415330864,0.0442198377678611,1,-0.17089214679767,0.041336022293054,0.964,0.573820388889262,0.0453548714777019,1,0.0459068397978103,0.0338044379505671,0.298,-0.163539425520674,0.0417117322565928,0.96,0.0352747444468299,0.0358842405097683,0.0357519169027567,0.0486452336269995,0.0423323190879278,0.0496809253503292,0.0359547416270565,0.0426104845502696,0.183518814359951,0.170488791136317,0.287391415330864,0.273820388889262,"sim","HC1","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.95,0.05,0,0,0,1,0.38,0.02,0.4,0.95,0.12,0.05,0.423689220337808,0.0346780722703321,1,0.30487826090372,0.0343185902734331,0.998,0.283987127151776,0.0350460284593236,0.999,0.449699681383437,0.0391855223347123,1,-0.0615746620019415,0.0360688141811597,0.43,0.3153419275888,0.0377424816631571,0.997,0.280882945548837,0.0353862751882777,0.999,-0.0217872941216215,0.0346519776576451,0.0989999999999999,0.0366713689959635,0.0352338488710105,0.0359752663899738,0.0424679761024642,0.0366698269668456,0.0400501608003321,0.0366270917213214,0.0352701685509858,0.123689220337808,0.00487826090371996,0.149699681383437,0.0153419275888002,"sim","HC1","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.633333333333333,0.0333333333333333,0,0,0,1,0.38,0.02,0.4,0.95,0.18,0.05,0.480593949757911,0.033234201380439,1,0.422554451869661,0.0359335443626549,1,0.143770540461271,0.0381670762283295,0.947,0.586009284432013,0.0441931319531627,0.999,-0.173658319897706,0.0416558991826939,0.965,0.521312896204575,0.0490378723402822,1,0.107784567829404,0.0389413060745002,0.807,-0.138419245423056,0.0431141684856832,0.893,0.0331974423348445,0.0360511671438299,0.0410564216119325,0.046879069226504,0.043871152574982,0.0516269665937777,0.0417279130439541,0.0452401030651516,0.180593949757911,0.122554451869661,0.286009284432013,0.221312896204575,"sim","HC1","t",3,1000,1000,314
0.05,0.3,"D2_varyA1Rho",0.6,0.6,0.6,0.3,0.95,0.05,0,0,0,1,0.57,0.03,0.6,0.95,0.18,0.05,0.48108478047133,0.0331140879781854,1,0.31237949037697,0.0388558449521452,1,0.279781962532111,0.0398425325706855,0.997,0.585883713782371,0.0447975806109251,1,-0.172204854172769,0.0416739931726053,0.966,0.355230365999539,0.0562345375680316,0.999,0.256545119859817,0.0455864290605379,0.993,-0.0469284052967671,0.0449868824351362,0.201,0.034449772053398,0.0395812829359672,0.0412710480433519,0.0500467828900198,0.0434844451864891,0.0593240330596125,0.0476135902047633,0.0457665451230868,0.18108478047133,0.0123794903769699,0.285883713782371,0.0552303659995386,"sim","HC1","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.9,0.1,0,0,0,1,0.18,0.02,0.2,0.9,0.06,0.1,0.362458643521733,0.0333194889684805,1,0.305509804881227,0.0319497823283438,1,0.270505753351124,0.0333537714585712,0.996,0.365252910736972,0.0342257086084824,1,-0.0129524003530958,0.033132710955242,0.076,0.311345887190585,0.0326160544109381,1,0.272345772309025,0.0334606673827368,0.996,-0.029697035855345,0.0320435658815313,0.159,0.0356544628630653,0.0336298971473238,0.0352100847885159,0.0370691377400612,0.0333371925883553,0.0347006544078012,0.0352989030178872,0.0322645671687347,0.0624586435217325,0.00550980488122654,0.0652529107369716,0.0113458871905846,"sim","HC1","t",3,1000,1000,314
