"f_target","b1","design","rho_target","a1","a2","b0","b2","c1","c2","a0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","f_achieved","a2_rule","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.05,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.95,0.05,0,0,1,0.15,0.15,0.2,0.2,0.5,0.19,0.01,0.2,0.95,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.05,"a2_equal_a1",0.363320298412912,0.0337787633740987,1,0.303074661397473,0.0332758192967231,1,0.285433205812682,0.0325396771883158,1,0.366367808189609,0.0345202477550435,1,-0.0144721734539286,0.033759702129858,0.072,0.30666509707887,0.0339614677914934,1,0.285571334559694,0.0325519313641651,1,-0.0171999645309977,0.0325421961875527,0.092,0.0342120351094246,0.0329497585252264,0.0316556650512412,0.0347874660991523,0.0346517532448734,0.0335323495196693,0.0316938811160768,0.033281279787793,0.0633202984129122,0.00307466139747309,0.066367808189609,0.00666509707886986,"sim","classical","norm",NA,1000,1000,314
0.1,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.9,0.1,0,0,1,0.15,0.15,0.2,0.2,0.5,0.18,0.02,0.2,0.9,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.1,"a2_equal_a1",0.361839085029636,0.0338111049275225,1,0.306191636963425,0.0334214268052257,1,0.268690756930636,0.0326509797886563,1,0.364313141525152,0.0345621340809309,1,-0.012013890135321,0.0338103979093969,0.059,0.31178912208014,0.0340448868600603,1,0.270383238380861,0.0327158623327086,1,-0.0285402111142528,0.0327802248844097,0.126,0.0337959628929446,0.0333578362568952,0.0336486951630449,0.0341936811983084,0.0331358682376651,0.033732844059247,0.0335200962557439,0.03166379363991,0.0618390850296362,0.00619163696342478,0.0643131415251519,0.0117891220801403,"sim","classical","norm",NA,1000,1000,314
0.15,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.85,0.15,0,0,1,0.15,0.15,0.2,0.2,0.5,0.17,0.03,0.2,0.85,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.15,"a2_equal_a1",0.362915510074239,0.0338001090876492,1,0.309533442422413,0.0335662049209374,1,0.252940406674486,0.0327728559347457,1,0.365127908589757,0.0345382561949747,1,-0.0108964572761592,0.0337846680649339,0.069,0.316789005152245,0.0341074784107618,1,0.257407289616459,0.0329721785443425,1,-0.0396475691208295,0.0330179964299046,0.224,0.0343342001049417,0.03383271310778,0.0341543617000612,0.0350747267643895,0.0337669604226642,0.0344350969830709,0.0342961850672215,0.0332590212126519,0.0629155100742394,0.00953344242241277,0.065127908589757,0.0167890051522452,"sim","classical","norm",NA,1000,1000,314
0.2,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.8,0.2,0,0,1,0.15,0.15,0.2,0.2,0.5,0.16,0.04,0.2,0.8,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.2,"a2_equal_a1",0.365010424178883,0.0337997856000097,1,0.314949115956689,0.0337059978967658,1,0.236147132126928,0.0329130728231597,1,0.367547216886163,0.0345407965928998,1,-0.0119529874704803,0.033764829465325,0.063,0.324054576887837,0.0341777149108649,1,0.244715420478537,0.0333444734039832,1,-0.0522554323938587,0.0333569786941974,0.342,0.0333696491522393,0.03246803882406,0.0327980779179223,0.0339444417686044,0.033001514310508,0.0329497732873125,0.0329075732301535,0.0320051921908019,0.065010424178883,0.0149491159566892,0.0675472168861633,0.0240545768878372,"sim","classical","norm",NA,1000,1000,314
0.25,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.75,0.25,0,0,1,0.15,0.15,0.2,0.2,0.5,0.15,0.05,0.2,0.75,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.25,"a2_equal_a1",0.362911648057323,0.0338280341990245,1,0.316899671181759,0.033811788850241,1,0.221284523444287,0.0330413824335717,1,0.365151851960033,0.0345654786165687,1,-0.0104960862561441,0.033772951837836,0.0710000000000001,0.32702585478479,0.0342165606830521,1,0.234773278467433,0.0338169009995025,1,-0.0617703210812672,0.0338146656437164,0.453,0.0332758068461338,0.0333434889987996,0.0325847077812371,0.034155443186087,0.0339398914662094,0.0339069634002716,0.0334894167621052,0.0342580059668707,0.0629116480573234,0.0168996711817591,0.0651518519600329,0.0270258547847899,"sim","classical","norm",NA,1000,1000,314
0.3,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.7,0.3,0,0,1,0.15,0.15,0.2,0.2,0.5,0.14,0.06,0.2,0.7,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.3,"a2_equal_a1",0.36238503868667,0.0338002852974515,1,0.319696579277044,0.033891865831696,1,0.205284935225594,0.0331088203010448,1,0.365040183161365,0.034538107813239,1,-0.0129430033998162,0.0337753622128365,0.0580000000000001,0.330793211461263,0.0342346245937413,1,0.224859311600786,0.0343028618771174,1,-0.0731583310423854,0.0343382301530921,0.59,0.0326391456520193,0.0327905322081369,0.0333322385931029,0.0337103323056785,0.0330886110360352,0.0333725836068972,0.0346415910438196,0.0338844642736671,0.0623850386866698,0.0196965792770445,0.0650401831613655,0.0307932114612633,"sim","classical","norm",NA,1000,1000,314
0.35,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.65,0.35,0,0,1,0.15,0.15,0.2,0.2,0.5,0.13,0.07,0.2,0.65,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.35,"a2_equal_a1",0.360257680710408,0.0337751589274893,1,0.320608777098018,0.0339777059099447,1,0.188980423993447,0.0332437954889054,1,0.362906483777665,0.0345212239997869,1,-0.0126074617084636,0.0337633986148532,0.0649999999999999,0.332239681327687,0.0342649623676018,1,0.215302990896487,0.0350284193522904,1,-0.0817741476597216,0.0350151821664071,0.655,0.0342340215545899,0.0342716952176719,0.0333378312813086,0.0352157554041756,0.0337563805449369,0.0347656539082282,0.0345789306921646,0.0344937228651867,0.0602576807104082,0.0206087770980185,0.0629064837776654,0.0322396813276867,"sim","classical","norm",NA,1000,1000,314
0.4,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.6,0.4,0,0,1,0.15,0.15,0.2,0.2,0.5,0.12,0.08,0.2,0.6,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.4,"a2_equal_a1",0.36478517454013,0.0337843870836848,1,0.328313940524122,0.0340652915968832,1,0.173843644136752,0.0332685049710788,1,0.367742665510104,0.0345314238347975,1,-0.0141085986983026,0.0337409219078911,0.0619999999999999,0.340440977250461,0.034293496097349,1,0.208376344821775,0.0357808871086775,1,-0.0922459051142084,0.0358027082897956,0.737,0.034332043881721,0.0347538751712698,0.0331119989119922,0.035049168069874,0.0332296585060316,0.0350597315720107,0.0356910128920073,0.0353493004449104,0.0647851745401299,0.0283139405241222,0.0677426655101042,0.0404409772504608,"sim","classical","norm",NA,1000,1000,314
0.45,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.55,0.45,0,0,1,0.15,0.15,0.2,0.2,0.5,0.11,0.09,0.2,0.55,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.45,"a2_equal_a1",0.36281977072738,0.0338371824339555,1,0.329566854983718,0.034182657962299,1,0.160117372812467,0.033408266506395,0.997,0.365358032739858,0.034580123944591,1,-0.0119734759618314,0.033774546593456,0.061,0.341369240761759,0.0343649245246787,1,0.202046748811166,0.0368348016613906,1,-0.0982091520917444,0.0368177106766037,0.782,0.0335756592479793,0.0343498157259279,0.0331743583884598,0.0345948587577039,0.0330229276560506,0.0345376995175123,0.0367627253959291,0.035851568119286,0.0628197707273798,0.0295668549837179,0.0653580327398576,0.0413692407617586,"sim","classical","norm",NA,1000,1000,314
0.5,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.5,0.5,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.1,0.2,0.5,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.5,"a2_equal_a1",0.363532357956784,0.0338432982050767,1,0.333454400115124,0.034271727031981,1,0.143905561172786,0.033473818483017,0.99,0.366362813148139,0.0345973514757079,1,-0.0132168931117256,0.0337550306753843,0.064,0.345297270796319,0.0344097891306032,1,0.195015036137165,0.0380102355396629,1,-0.106604963663302,0.0379829893661783,0.785,0.0336564457924505,0.0338221317160652,0.0332467079775133,0.0345462734638151,0.0343205229987897,0.0341316539749134,0.0382890803578225,0.0390381998819376,0.0635323579567841,0.0334544001151241,0.0663628131481389,0.045297270796319,"sim","classical","norm",NA,1000,1000,314
0.55,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.45,0.55,0,0,1,0.15,0.15,0.2,0.2,0.5,0.09,0.11,0.2,0.45,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.55,"a2_equal_a1",0.3634314359832,0.0338223107832399,1,0.336358297660362,0.0343144448518169,1,0.129250342963162,0.033516374942183,0.968,0.365907607074644,0.034563840236754,1,-0.0119138004761832,0.0337491742132829,0.0680000000000002,0.347251634489787,0.0344082954596872,1,0.188595028068302,0.0393884322922814,1,-0.111844536010196,0.0393729869434639,0.802,0.034868198423852,0.0354209983939456,0.0338887468445064,0.0356085845431716,0.0347517473022368,0.035497017226388,0.0397161001734309,0.0404269728172697,0.0634314359832,0.0363582976603623,0.0659076070746439,0.0472516344897868,"sim","classical","norm",NA,1000,1000,314
0.6,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.4,0.6,0,0,1,0.15,0.15,0.2,0.2,0.5,0.08,0.12,0.2,0.4,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.6,"a2_equal_a1",0.363135396644129,0.0337828354520586,1,0.339466399013232,0.0343339371655517,1,0.113144318958338,0.033582693897149,0.918,0.365529924828299,0.034533556832256,1,-0.0113350412849545,0.033786053465575,0.047,0.349763384086927,0.0344045194700399,1,0.181405330165401,0.0411933365931131,0.99,-0.117198219309996,0.0412084883650156,0.822,0.03396153460509,0.0342849901282158,0.0333288781892632,0.0343439934660857,0.0318841024676241,0.0341656854225211,0.0409347315938204,0.0385795572032557,0.0631353966441287,0.039466399013232,0.065529924828299,0.0497633840869267,"sim","classical","norm",NA,1000,1000,314
0.65,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.35,0.65,0,0,1,0.15,0.15,0.2,0.2,0.5,0.07,0.13,0.2,0.35,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.65,"a2_equal_a1",0.364564789848768,0.0337619963137909,1,0.343845145745331,0.0343734786176519,1,0.0981457046524461,0.03361395287552,0.836,0.367063091480558,0.0345056277007505,1,-0.0121256801960085,0.0337539214161073,0.0660000000000001,0.353213364346907,0.0344032603259402,1,0.177231206828382,0.0433546791789211,0.981,-0.124652010435494,0.043352272218219,0.821,0.033437213120435,0.0338332945869766,0.0333984761359487,0.0341142133973871,0.0338154073361024,0.0338934770729599,0.0432513660418709,0.0431082529703201,0.0645647898487685,0.0438451457453307,0.0670630914805577,0.0532133643469068,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.3,0.7,0,0,1,0.15,0.15,0.2,0.2,0.5,0.06,0.14,0.2,0.3,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.7,"a2_equal_a1",0.362666831164278,0.0337674446996934,1,0.345700278874646,0.0344086425552454,1,0.0813471268274933,0.0335868538411994,0.681,0.365227480928144,0.0345071308374549,1,-0.0122074465223102,0.0336836900059064,0.07,0.354105984596402,0.0344202958359854,1,0.170836023187593,0.0461535153591986,0.956,-0.129857839000829,0.046154373235841,0.795,0.0338597138070461,0.0344404858361136,0.0342462610132521,0.0345947654211704,0.0351765639107902,0.0343878847067989,0.0470659816255917,0.047851700352177,0.0626668311642778,0.0457002788746462,0.0652274809281441,0.0541059845964023,"sim","classical","norm",NA,1000,1000,314
0.75,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.25,0.75,0,0,1,0.15,0.15,0.2,0.2,0.5,0.05,0.15,0.2,0.25,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.75,"a2_equal_a1",0.362532808646031,0.0337846563972548,1,0.348732083719993,0.0344726023095694,1,0.065836556855125,0.033665840774936,0.49,0.365153150447284,0.0345376335570787,1,-0.012097109594311,0.0337309581503158,0.0589999999999999,0.356125876654872,0.0344746332447832,1,0.164368480831315,0.0497924276705007,0.91,-0.133521512881047,0.0497947858428644,0.769,0.034499771529375,0.0350537896278684,0.0329141435628638,0.0351140247418992,0.0331576188523456,0.0349222408981211,0.0492712552511743,0.0494157289477546,0.062532808646031,0.0487320837199931,0.0651531504472837,0.0561258766548717,"sim","classical","norm",NA,1000,1000,314
0.8,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.2,0.8,0,0,1,0.15,0.15,0.2,0.2,0.5,0.04,0.16,0.2,0.2,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.8,"a2_equal_a1",0.363210703349638,0.0337572721385124,1,0.352952745588201,0.0344717137106402,1,0.0493184567569637,0.0337541773822395,0.31,0.365947320587766,0.034499899051775,1,-0.0129505192707998,0.0337733865454483,0.077,0.358935639619461,0.0344602010928758,1,0.15934892720849,0.0550581055571115,0.827,-0.13901722996723,0.055035233094723,0.735,0.035684856381462,0.036401025220222,0.0335624473185389,0.0364505988793018,0.0343557801108436,0.0363258346521391,0.054746908254778,0.056134093040752,0.0632107033496376,0.0529527455882006,0.0659473205877658,0.0589356396194612,"sim","classical","norm",NA,1000,1000,314
