"f_target","b1","design","rho_target","a1","a2","b0","b2","c1","c2","a0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.833333333333333,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.5,0,0.5,1,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0,0.488539433642463,0.0332996689991579,1,0.377275035271608,0.0381936718562169,1,0.212206461866379,0.0373619004385564,1,0.603661560323203,0.041773537118201,1,-0.183498839722888,0.0408613896604918,0.991,0.460342407834969,0.0544561668333103,1,0.170663082411193,0.0420593141681951,0.983,-0.0977248978914548,0.0457316788855197,0.573,0.0346324251210205,0.0392145573292773,0.0360878588452631,0.0426322627750384,0.0414174604524691,0.054625984292431,0.0403031357829497,0.0461206486822588,0.188539433642463,0.0772750352716076,0.303661560323203,0.160342407834969,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.791666666666667,0.0416666666666667,0,0,1,0.15,0.15,0.2,0.2,0.5,0.475,0.025,0.5,0.95,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.05,0.488797925274639,0.0333410448040556,1,0.387707134119208,0.0382891979427395,1,0.193349158105253,0.0374060806561041,0.999,0.602447738946295,0.041870735138192,1,-0.180916458155535,0.0409515665299922,0.995,0.481692022190132,0.0527947393184923,1,0.151178916301895,0.0407278051018983,0.954,-0.11455189319192,0.0444276400212452,0.736,0.0339131701194144,0.0388336498837232,0.0381850815151479,0.0419469369501459,0.039115644514586,0.0524810000229303,0.0415242250091574,0.0424456661882595,0.188797925274639,0.0877071341192081,0.302447738946295,0.181692022190132,"sim","classical","norm",NA,1000,1000,314
0.1,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.75,0.0833333333333333,0,0,1,0.15,0.15,0.2,0.2,0.5,0.45,0.05,0.5,0.9,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.1,0.489693979397929,0.0333344486481472,1,0.397252896064217,0.038415395611119,1,0.176085129010924,0.0374847037278262,0.998,0.601861017366873,0.0418137443158054,1,-0.1788666224518,0.0408857295323783,0.992,0.498853702037043,0.051367511336916,1,0.135830998642225,0.0397340010020943,0.93,-0.128292791778933,0.0432780163925076,0.828,0.0333673489584001,0.0375434361212757,0.0379036799241355,0.0426183190180896,0.0410770441516,0.0510657065566331,0.0400331215064298,0.0437031488879128,0.189693979397929,0.0972528960642173,0.301861017366873,0.198853702037043,"sim","classical","norm",NA,1000,1000,314
0.15,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.708333333333333,0.125,0,0,1,0.15,0.15,0.2,0.2,0.5,0.425,0.075,0.5,0.85,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.15,0.490029686502897,0.0333185907947832,1,0.407129649689671,0.0384964402499547,1,0.157781290921719,0.0375872468666146,0.99,0.602877268594702,0.0417798607054737,1,-0.179978171737188,0.0408435507753898,0.992,0.516278063318004,0.050066355401537,1,0.121008511913556,0.0389354663754817,0.879,-0.143269601514145,0.042347034911612,0.932,0.0337438775005404,0.0373354985921859,0.0357751331894441,0.0415401574082151,0.0397083475155829,0.0482568519928797,0.037167868944576,0.0410989401440887,0.190029686502897,0.107129649689671,0.302877268594702,0.216278063318004,"sim","classical","norm",NA,1000,1000,314
0.2,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.666666666666667,0.166666666666667,0,0,1,0.15,0.15,0.2,0.2,0.5,0.4,0.1,0.5,0.8,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.2,0.489742614481307,0.0333565085811701,1,0.415632127868187,0.0385643414112036,1,0.141564201243126,0.0376836795343662,0.967,0.602163520855357,0.0418813901474201,1,-0.17876797650844,0.0409125374684681,0.993,0.527503784000059,0.0490371975553555,1,0.11120276287091,0.0383604320976852,0.841,-0.152598833199182,0.0417520952756806,0.954,0.0334419557392134,0.0378114843171101,0.0364195330750292,0.0426853806013995,0.0419163885442032,0.0483847201645888,0.0368563760799484,0.0424734105763171,0.189742614481307,0.115632127868187,0.302163520855357,0.227503784000059,"sim","classical","norm",NA,1000,1000,314
0.25,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.625,0.208333333333333,0,0,1,0.15,0.15,0.2,0.2,0.5,0.375,0.125,0.5,0.75,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.25,0.488126426395474,0.0333740273464971,1,0.42239422277249,0.0386293391724302,1,0.125649011010533,0.0376771729219978,0.904,0.601527438535426,0.0418643292720226,1,-0.180618385901706,0.0408873282406923,0.988,0.537098730362619,0.0481073753638624,1,0.102108060452623,0.0378771273303275,0.767,-0.163050860104183,0.0412749661288721,0.974,0.0317781785950855,0.0366307223323331,0.0381656740663631,0.0414844038556543,0.0407296394847375,0.0471481925376355,0.0382379647792965,0.0411506272369814,0.188126426395474,0.12239422277249,0.301527438535426,0.237098730362619,"sim","classical","norm",NA,1000,1000,314
0.3,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.583333333333333,0.25,0,0,1,0.15,0.15,0.2,0.2,0.5,0.35,0.15,0.5,0.7,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.3,0.486031973053308,0.0333188577746086,1,0.429361300764372,0.0386335108060138,1,0.108394054584312,0.037793050575541,0.811,0.598660174757418,0.0418308350341901,1,-0.179332514825562,0.0409040270524973,0.99,0.543623236318913,0.047224488915742,1,0.0936511465383817,0.0376583359452882,0.686,-0.16965716467621,0.0409813210162903,0.982,0.033397463436239,0.0385399212131961,0.0377013540279887,0.0421604149868093,0.0411982491480679,0.0482586049830611,0.0376149275778513,0.0415793842422223,0.186031973053308,0.129361300764372,0.298660174757418,0.243623236318913,"sim","classical","norm",NA,1000,1000,314
0.35,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.541666666666667,0.291666666666667,0,0,1,0.15,0.15,0.2,0.2,0.5,0.325,0.175,0.5,0.65,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.35,0.488991463302516,0.0333008353618272,1,0.440818817565235,0.0386828579254007,1,0.0916992044055288,0.0377994773218663,0.673,0.60389910597115,0.0417954468111687,1,-0.182909250411292,0.0408547700391983,0.996,0.556609810506843,0.0464616920253684,1,0.0863750924304788,0.0374731342693083,0.639,-0.179863996598314,0.0407874637322767,0.994,0.0324542669465593,0.0376897654561167,0.0377181385380472,0.0417271591061928,0.0410845753433859,0.0464400975641743,0.0373849406185836,0.0410596715633819,0.188991463302516,0.140818817565235,0.30389910597115,0.256609810506843,"sim","classical","norm",NA,1000,1000,314
0.4,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.5,0.333333333333333,0,0,1,0.15,0.15,0.2,0.2,0.5,0.3,0.2,0.5,0.6,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.4,0.489386300293635,0.0333435706608802,1,0.449621801350282,0.0386994706121368,1,0.0762274279176407,0.0378389073412766,0.519,0.603049694929608,0.0418616991672573,1,-0.180864135418474,0.0409078208651332,0.993,0.562316229095686,0.0458041492774693,1,0.0813235855940183,0.037498535222061,0.593,-0.18355835951776,0.040851450358891,0.994,0.0325963900040962,0.038999071942475,0.038527634748684,0.0416613852870181,0.0403134672025413,0.0464221946711283,0.0380563972558303,0.0399969116118048,0.189386300293635,0.149621801350282,0.303049694929608,0.262316229095686,"sim","classical","norm",NA,1000,1000,314
0.45,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.458333333333333,0.375,0,0,1,0.15,0.15,0.2,0.2,0.5,0.275,0.225,0.5,0.55,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.45,0.489946924115986,0.0333481996026748,1,0.459527319483687,0.0387779469344739,1,0.0582202300528061,0.0379010408499046,0.334,0.605171592512899,0.0418788582988898,1,-0.182973676493162,0.0408787399764825,0.99,0.571029216349245,0.0452713320265786,1,0.074169160271148,0.0376723843264743,0.517,-0.190330312051223,0.0409905993230678,0.995,0.0331526671959574,0.0386433544549199,0.0385715244467403,0.0412700175544826,0.0414363728065549,0.0443399583980846,0.0384029621740785,0.0415664857475017,0.189946924115986,0.159527319483687,0.305171592512899,0.271029216349245,"sim","classical","norm",NA,1000,1000,314
